# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	1.235212	134.035364	-22.723634	0.066356
0.020000	2.279988	134.035364	-22.704071	0.038880
0.030000	3.298127	134.035364	-22.674915	-0.005702
0.040000	4.283675	134.035364	-22.634090	-0.097978
0.050000	5.221951	134.035364	-22.582990	-0.278383
0.060000	6.104496	134.035364	-22.522189	-0.469156
0.070000	6.918812	134.035364	-22.452443	-0.697254
0.080000	7.654556	134.035364	-22.374644	-0.961640
0.090000	8.303026	134.035364	-22.289816	-1.256612
0.100000	8.853841	134.035364	-22.199078	-1.579578
0.110000	9.305366	134.035364	-22.103637	-1.917059
0.120000	9.656623	134.035364	-22.004722	-2.266464
0.130000	9.918985	134.035364	-21.903538	-2.620534
0.140000	10.103810	134.035364	-21.801152	-2.972012
0.150000	10.233327	134.035364	-21.698500	-3.294978
0.160000	10.308941	134.035364	-21.596573	-3.599282
0.170000	10.355159	134.035364	-21.495668	-3.859521
0.180000	10.373988	134.035364	-21.396466	-4.075695
0.190000	10.370234	134.035364	-21.299450	-4.247806
0.200000	10.340994	134.035364	-21.205114	-4.371186
0.210000	10.287250	134.035364	-21.113929	-4.442207
0.220000	10.216831	134.035364	-21.026342	-4.454649
0.230000	10.123043	134.035364	-20.942773	-4.390367
#Thickness for MoS2 already exists. Using existing thickness: 6.5 Å.
#Estimated yield strength using 0.002 and yield strength using linearity method are:  1.24 N/m and  1.24 N/m 
#The Shear ultimate strength is: 10.37 N/m 
#Energy Storage Capacity at max strain 0.180 is 0.479 MJ/L or 28.031 Wh/Kg
