# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	1.692028	136.729475	-22.721185	1.396581
0.020000	3.193873	139.450393	-22.692290	2.623126
0.030000	4.586350	142.198117	-22.645994	3.751693
0.040000	5.875007	144.972649	-22.583354	4.766728
0.050000	7.063078	147.773989	-22.505427	5.710224
0.060000	8.159957	150.602135	-22.413150	6.572849
0.070000	9.167905	153.457088	-22.307446	7.358232
0.080000	10.081875	156.338848	-22.189216	8.065335
0.090000	10.925778	159.247416	-22.059289	8.709194
0.100000	11.693718	162.182790	-21.918501	9.287215
0.110000	12.384783	165.144972	-21.767648	9.805619
0.120000	12.954226	168.133960	-21.668818	9.043046
0.130000	13.367732	171.149756	-21.507684	9.406448
0.140000	13.536433	174.192359	-21.350127	9.143098
0.150000	13.677486	177.261769	-21.168659	9.880788
0.160000	13.920034	180.357986	-21.010073	9.481098
0.170000	14.273636	183.481010	-20.835431	9.555230
0.180000	5.651717	186.630841	-20.709486	3.721625
#Thickness for MoS2 already exists. Using existing thickness: 6.5 Å.
#Estimated yield strength using 0.002 and yield strength using linearity method are:  1.69 N/m and  1.69 N/m 
#The Tensile_biaxial ultimate strength is: 14.27 N/m 
#Energy Storage Capacity at max strain 0.170 is 0.622 MJ/L or 36.425 Wh/Kg
