# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	1.243572	135.375717	-22.728261	0.603423
0.020000	2.423237	136.716071	-22.718410	1.121309
0.030000	3.519513	138.056425	-22.702435	1.603943
0.040000	4.539231	139.396778	-22.680771	2.063768
0.050000	5.478380	140.737132	-22.653836	2.498191
0.060000	6.354921	142.077486	-22.622008	2.908767
0.070000	7.173035	143.417839	-22.585624	3.300681
0.080000	7.935721	144.758193	-22.545007	3.673413
0.090000	8.647549	146.098547	-22.500439	4.028520
0.100000	9.312957	147.438900	-22.452194	4.367557
0.110000	9.939266	148.779254	-22.400477	4.691560
0.120000	10.523468	150.119607	-22.345524	5.001047
0.130000	11.079993	151.459961	-22.287521	5.293946
0.140000	11.600514	152.800315	-22.226619	5.579068
0.150000	12.093937	154.140668	-22.162969	5.851230
0.160000	12.558647	155.481022	-22.096703	6.114580
0.170000	13.003770	156.821376	-22.027937	6.363414
0.180000	13.426708	158.161729	-21.956777	6.603435
0.190000	13.837738	159.502083	-21.883323	6.836717
0.200000	14.228269	160.842437	-21.807662	7.056520
0.210000	14.598625	162.182790	-21.729882	7.265437
0.220000	14.952757	163.523144	-21.650068	7.466578
0.230000	15.290188	164.863497	-21.568316	7.656833
0.240000	15.610833	166.203851	-21.484703	7.834645
0.250000	15.912113	167.544205	-21.399331	7.997424
0.260000	16.210243	168.884558	-21.315474	8.270624
0.270000	16.482463	170.224912	-21.227565	8.430810
0.280000	16.737371	171.565266	-21.138246	8.581148
0.290000	16.975528	172.905619	-21.047598	8.720599
0.300000	17.194354	174.245973	-20.955724	8.848644
0.310000	17.394624	175.586327	-20.862721	8.965804
0.320000	17.576351	176.926680	-20.768681	9.070003
0.330000	17.737034	178.267034	-20.673721	9.164353
0.340000	17.875393	179.607388	-20.566916	9.034752
0.350000	17.994939	180.947741	-20.481471	9.299138
0.360000	18.099320	182.288095	-20.384396	9.377417
0.370000	9.034052	183.628448	-20.327313	2.869887
#Thickness for MoS2 already exists. Using existing thickness: 6.5 Å.
#Estimated yield strength using 0.002 and yield strength using linearity method are:  1.24 N/m and  1.24 N/m 
#The Tensile_x ultimate strength is: 18.10 N/m 
#Energy Storage Capacity at max strain 0.360 is 1.671 MJ/L or 97.810 Wh/Kg
