# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	1.507262	135.375717	-22.727008	0.628825
0.020000	2.757756	136.716071	-22.715540	1.160189
0.030000	3.928825	138.056425	-22.697588	1.651118
0.040000	5.023166	139.396778	-22.673548	2.110943
0.050000	6.044259	140.737132	-22.643831	2.544329
0.060000	6.999467	142.077486	-22.608812	2.950758
0.070000	7.891572	143.417839	-22.568832	3.332822
0.080000	8.725146	144.758193	-22.524211	3.690521
0.090000	9.504999	146.098547	-22.461051	4.923286
0.100000	10.222667	147.438900	-22.422205	4.344747
0.110000	10.897996	148.779254	-22.365345	4.644385
0.120000	11.526704	150.119607	-22.304924	4.927434
0.130000	12.111611	151.459961	-22.241185	5.193375
0.140000	12.654642	152.800315	-22.174350	5.439099
0.150000	13.158129	154.140668	-22.104646	5.676528
0.160000	13.623400	155.481022	-22.032299	5.900997
0.170000	14.052066	156.821376	-21.957522	6.113024
0.180000	14.441169	158.161729	-21.880534	6.310018
0.190000	14.788694	159.502083	-21.801552	6.490941
0.200000	15.102614	160.842437	-21.720797	6.658386
0.210000	15.378232	162.182790	-21.638501	6.810797
0.220000	15.617001	163.523144	-21.554891	6.946619
0.230000	15.813022	164.863497	-21.470206	7.062741
0.240000	15.965724	166.203851	-21.384698	7.160201
0.250000	16.074876	167.544205	-21.298624	7.240036
0.260000	16.134655	168.884558	-21.212228	7.297060
0.270000	16.143930	170.224912	-21.125779	7.333867
0.280000	16.097333	171.565266	-21.039548	7.347345
0.290000	15.993381	172.905619	-20.953793	7.337496
0.300000	15.830868	174.245973	-20.868800	7.307428
0.310000	15.606449	175.586327	-20.784821	7.251959
0.320000	15.321594	176.926680	-20.702142	7.174717
#Thickness for MoS2 already exists. Using existing thickness: 6.5 Å.
#Estimated yield strength using 0.002 and yield strength using linearity method are:  1.51 N/m and  1.51 N/m 
#The Tensile_y ultimate strength is: 16.14 N/m 
#Energy Storage Capacity at max strain 0.270 is 1.118 MJ/L or 65.432 Wh/Kg

