# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	0.705652	134.035364	-22.729035	0.006895
0.015000	0.969585	134.035364	-22.726708	0.006895
0.020000	1.232603	134.035364	-22.723653	0.006636
0.030000	1.756963	134.035364	-22.715354	0.005599
0.040000	2.277746	134.035364	-22.704151	0.003888
0.050000	2.794733	134.035364	-22.690060	0.001452
0.060000	3.304093	134.035364	-22.674996	-0.000726
0.070000	3.811995	134.035364	-22.655844	-0.004977
0.080000	4.314305	134.035364	-22.633984	-0.010264
0.090000	4.809972	134.035364	-22.609455	-0.020477
0.100000	5.299948	134.035364	-22.582253	-0.028512
0.110000	5.783353	134.035364	-22.552433	-0.037844
0.120000	6.260496	134.035364	-22.520037	-0.048056
0.130000	6.730993	134.035364	-22.485089	-0.059409
0.140000	7.194548	134.035364	-22.447620	-0.071747
0.150000	7.651280	134.035364	-22.407688	-0.085070
0.160000	8.101188	134.035364	-22.365316	-0.099430
0.170000	8.545448	134.035364	-22.320542	-0.114671
0.180000	8.982796	134.035364	-22.273406	-0.131053
0.190000	9.415176	134.035364	-22.223942	-0.148315
0.200000	9.842494	134.035364	-22.172154	-0.166200
0.210000	10.265214	134.035364	-22.118090	-0.185019
0.220000	10.684529	134.035364	-22.061756	-0.204822
0.230000	11.101079	134.035364	-22.003176	-0.225506
