# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0    
0.010000	1.243572	135.375717	0.603423
0.020000	2.423237	136.716071	1.121309
0.030000	3.519513	138.056425	1.603943
0.040000	4.539231	139.396778	2.063768
0.050000	5.478380	140.737132	2.498191
0.060000	6.354921	142.077486	2.908767
0.070000	7.173035	143.417839	3.300681
0.080000	7.935721	144.758193	3.673413
0.090000	8.647549	146.098547	4.028520
0.100000	9.312957	147.438900	4.367557
0.110000	9.939266	148.779254	4.691560
0.120000	10.523468	150.119607	5.001047
0.130000	11.079993	151.459961	5.293946
0.140000	11.600514	152.800315	5.579068
0.150000	12.093937	154.140668	5.851230
0.160000	12.558647	155.481022	6.114580
0.170000	13.003770	156.821376	6.363414
0.180000	13.426708	158.161729	6.603435
0.190000	13.837738	159.502083	6.836717
0.200000	14.228269	160.842437	7.056520
0.210000	14.598625	162.182790	7.265437
0.220000	14.952757	163.523144	7.466578
0.230000	15.290188	164.863497	7.656833
0.240000	15.610833	166.203851	7.834645
0.250000	15.912113	167.544205	7.997424
0.260000	16.210243	168.884558	8.270624
0.270000	16.482463	170.224912	8.430810
0.280000	16.737371	171.565266	8.581148
0.290000	16.975528	172.905619	8.720599
0.300000	17.194354	174.245973	8.848644
0.310000	17.394624	175.586327	8.965804
0.320000	17.576351	176.926680	9.070003
0.330000	17.737034	178.267034	9.164353
0.340000	17.875393	179.607388	9.034752
0.350000	17.994939	180.947741	9.299138
0.360000	18.099320	182.288095	9.377417
0.370000	9.034052	183.628448	2.869887
0.380000	11.807378	184.968802	5.318829
0.390000	14.605951	186.309156	6.639205
0.400000	17.236882	187.649509	8.868344
0.410000	18.402505	188.989863	9.573892
0.420000	18.374727	190.330217	9.216193
0.430000	18.308263	191.670570	9.176276
0.440000	18.204320	193.010924	9.472285
0.450000	18.066748	194.351278	9.402819
