# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	5.899773	335.265413	-285.544954	6.486667
0.020000	11.785436	335.265413	-285.174587	5.976667
0.030000	17.650136	335.265413	-284.558580	5.143333
0.040000	23.479094	335.265413	-283.698033	3.936667
0.050000	29.271751	335.265413	-282.598979	2.153333
0.060000	35.001241	335.265413	-281.259044	0.036667
0.070000	40.653671	335.265413	-279.683173	-2.603333
0.080000	46.215534	335.265413	-277.876729	-5.806667
0.090000	51.666092	335.265413	-275.844164	-9.636667
0.100000	56.975031	335.265413	-273.578459	-13.763333
0.110000	62.138089	335.265413	-271.116395	-19.116667
0.120000	67.111811	335.265413	-268.453627	-25.346667
0.130000	71.879875	335.265413	-265.596754	-32.653333
0.140000	76.388490	335.265413	-262.558520	-40.990000
0.150000	80.608109	335.265413	-259.348791	-50.643333
0.160000	84.492699	335.265413	-255.986219	-61.716667
0.170000	87.977548	335.265413	-252.487313	-74.360000
0.180000	90.972554	335.265413	-248.875627	-88.860000
0.190000	93.363677	335.265413	-245.175298	-104.913333
0.200000	95.009809	335.265413	-241.418757	-122.430000
0.210000	95.764454	335.265413	-237.643981	-141.400000
0.220000	95.455314	335.265413	-233.895015	-162.546667
0.230000	93.958653	335.265413	-230.177002	-192.916667
0.240000	90.979144	335.265413	-226.705242	-213.556667
0.250000	86.475705	335.265413	-223.392698	-242.193333
0.260000	80.500308	335.265413	-220.377095	-274.583333
# Energy Storage Capacity at max strain 0.21000000000000002 is 0.314 MJ/L or 44.382 Wh/Kg, Thickness 0.0 Ang 
# Estimated yield strength: 5.342388 GPa # Shear ultimate strength: 95.764454 GPa
