# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	5.046448	342.004247	-285.541116	36.020000
0.020000	8.363162	348.810135	-285.257537	63.193333
0.030000	11.414390	355.683076	-284.827984	88.246667
0.040000	14.239479	362.623070	-284.266090	111.340000
0.050000	16.836564	369.630117	-283.581280	132.546667
0.060000	19.216619	376.704218	-282.783260	151.960000
0.070000	21.388669	383.845371	-281.879763	169.653333
0.080000	23.365751	391.053577	-280.879328	185.723333
0.090000	25.155061	398.328837	-279.789583	200.243333
0.100000	26.760846	405.671149	-278.612594	213.236667
0.110000	28.195112	413.080515	-277.358256	224.796667
0.120000	29.467561	420.556934	-276.032036	234.996667
0.130000	30.583993	428.100405	-274.637928	243.876667
0.140000	31.554102	435.710930	-273.183366	251.523333
0.150000	32.387645	443.388508	-271.671265	257.986667
0.160000	33.091038	451.133139	-270.107687	263.330000
0.170000	33.670554	458.944823	-268.496582	267.603333
0.180000	34.135081	466.823560	-266.843963	270.870000
0.190000	34.490610	474.769351	-265.152229	273.186667
0.200000	34.748299	482.782194	-263.426052	274.603333
0.210000	34.914523	490.862091	-261.670832	275.193333
0.220000	34.992366	499.009040	-259.887043	274.963333
0.230000	34.988711	507.223043	-258.079639	273.970000
0.240000	34.912481	515.504098	-256.253105	272.290000
0.250000	34.766054	523.852207	-254.408116	269.893333
0.260000	34.553836	532.267369	-252.547753	266.853333
0.270000	34.277122	540.749584	-250.674275	263.150000
# Energy Storage Capacity at max strain 0.22 is 0.120 MJ/L or 16.990 Wh/Kg, Thickness 0.0 Ang 
# Estimated yield strength: 4.706621 GPa # Tensile_biaxial ultimate strength: 34.992366 GPa
