# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	9.260541	275.728417	-286.453338	38.126667
0.020000	17.829328	278.458401	-286.209287	72.800000
0.030000	25.945293	281.188385	-285.820073	105.503333
0.040000	33.604390	283.918370	-285.297671	136.323333
0.050000	40.815166	286.648354	-284.650972	165.293333
0.060000	47.582939	289.378338	-283.889056	192.460000
0.070000	53.916660	292.108322	-283.021083	217.840000
0.080000	59.826028	294.838307	-282.052947	241.476667
0.090000	65.330537	297.568291	-280.994399	263.436667
0.100000	70.427786	300.298275	-279.848664	283.710000
0.110000	75.129390	303.028260	-278.622948	302.333333
0.120000	79.443803	305.758244	-277.321296	319.333333
0.130000	83.387996	308.488228	-275.952525	334.773333
0.140000	86.968116	311.218213	-274.519353	348.660000
0.150000	90.202047	313.948197	-273.029389	361.070000
0.160000	93.096084	316.678181	-271.485830	372.023333
0.170000	95.666797	319.408166	-269.893645	381.566667
0.180000	97.923792	322.138150	-268.257341	389.733333
0.190000	99.880344	324.868134	-266.581192	396.553333
0.200000	101.551470	327.598119	-264.871541	402.110000
0.210000	102.953024	330.328103	-263.130387	406.440000
0.220000	104.092669	333.058087	-261.361003	409.550000
0.230000	104.979641	335.788072	-259.566151	411.456667
0.240000	105.628835	338.518056	-257.751485	412.173333
0.250000	106.042383	341.248040	-255.918693	411.766667
0.260000	106.227505	343.978025	-254.070799	410.196667
0.270000	106.180300	346.708009	-252.210878	407.413333
0.280000	105.892428	349.437993	-250.340672	403.306667
0.290000	105.352800	352.167978	-248.464882	397.796667
0.300000	104.544727	354.897962	-247.011774	406.423333
0.310000	103.425622	357.627946	-245.244620	400.716667
# Energy Storage Capacity at max strain 0.26 is 0.432 MJ/L or 49.633 Wh/Kg, Thickness 0.0 Ang 
# Estimated yield strength: 8.472225 GPa # Tensile_x ultimate strength: 106.227505 GPa
