# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	6.495840	338.618067	-285.597368	36.703333
0.020000	13.576758	341.970721	-285.374566	65.136667
0.030000	20.319588	345.323375	-285.014098	91.980000
0.040000	26.709958	348.676029	-284.524592	117.230000
0.050000	32.740566	352.028683	-283.910601	140.856667
0.060000	38.404382	355.381337	-283.179295	162.836667
0.070000	43.696131	358.733991	-282.337259	183.186667
0.080000	48.599397	362.086646	-281.388798	201.843333
0.090000	53.118535	365.439300	-280.339433	218.806667
0.100000	57.192538	368.791954	-279.196926	234.033333
0.110000	60.830000	372.144608	-277.968283	247.536667
0.120000	64.012257	375.497262	-276.662336	259.303333
0.130000	66.704721	378.849916	-275.286783	269.326667
0.140000	68.884096	382.202570	-273.853692	277.630000
0.150000	70.519037	385.555224	-272.371189	284.203333
0.160000	71.581352	388.907879	-270.850346	289.063333
0.170000	72.038405	392.260533	-269.303205	292.203333
0.180000	71.833195	395.613187	-267.738798	293.576667
0.190000	70.955491	398.965841	-266.433466	275.116667
0.200000	69.162170	402.318495	-264.976978	267.353333
0.210000	66.193718	405.671149	-263.572495	255.566667
0.220000	61.434257	409.023803	-262.246297	238.030000
# Energy Storage Capacity at max strain 0.17 is 0.191 MJ/L or 27.027 Wh/Kg, Thickness 0.0 Ang 
# Estimated yield strength: 5.859813 GPa # Tensile_z ultimate strength: 72.038405 GPa
