# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	2.968599	335.265413	-285.624453	6.553333
0.020000	5.913244	335.265413	-285.544468	6.483333
0.030000	8.869734	335.265413	-285.389407	6.266667
0.040000	11.827080	335.265413	-285.172766	5.963333
0.050000	14.787460	335.265413	-284.894035	5.586667
0.060000	17.749789	335.265413	-284.552957	5.103333
0.070000	20.714380	335.265413	-284.150329	4.530000
0.080000	23.681414	335.265413	-283.683919	3.833333
0.090000	26.659551	335.265413	-283.159866	2.886667
0.100000	29.634355	335.265413	-282.571266	1.920000
0.110000	32.616003	335.265413	-281.919447	0.803333
0.120000	35.600620	335.265413	-281.205724	-0.446667
0.130000	38.589341	335.265413	-280.429913	-1.863333
0.140000	41.582089	335.265413	-279.590610	-3.460000
0.150000	44.577645	335.265413	-278.688506	-5.260000
0.160000	47.574710	335.265413	-277.724666	-7.253333
0.170000	50.576423	335.265413	-276.696366	-9.486667
0.180000	53.581985	335.265413	-275.606327	-11.956667
0.190000	56.587426	335.265413	-274.454462	-14.683333
0.200000	59.594501	335.265413	-273.239002	-17.703333
0.210000	62.604341	335.265413	-271.960524	-21.046667
0.220000	65.618057	335.265413	-270.618135	-24.690000
0.230000	68.617782	335.265413	-269.186730	-28.010000
0.240000	71.630146	335.265413	-267.721161	-32.533333
0.250000	74.642090	335.265413	-266.192899	-37.540000
0.260000	77.654659	335.265413	-264.601905	-43.073333
0.270000	80.668257	335.265413	-262.947588	-49.210000
0.280000	83.682202	335.265413	-261.230688	-55.990000
0.290000	86.685372	335.265413	-259.463093	-63.803333
0.300000	89.692507	335.265413	-257.617993	-71.876667
0.310000	92.693478	335.265413	-255.704223	-80.390000
0.320000	95.657272	335.265413	-253.735726	-89.756667
0.330000	98.574175	335.265413	-251.704916	-99.466667
0.340000	101.419013	335.265413	-249.613131	-109.290000
0.350000	104.180692	335.265413	-247.462056	-119.236667
0.360000	106.842656	335.265413	-245.254381	-128.783333
0.370000	109.412600	335.265413	-242.991511	-138.300000
0.380000	111.897733	335.265413	-240.675247	-147.836667
0.390000	114.310542	335.265413	-238.307769	-157.740000
0.400000	116.655079	335.265413	-235.891588	-168.100000
0.410000	118.926078	335.265413	-233.426443	-179.153333
0.420000	121.106867	335.265413	-230.914309	-190.720000
0.430000	123.167964	335.265413	-228.357615	-202.806667
0.440000	125.063576	335.265413	-225.759630	-215.276667
0.450000	126.706901	335.265413	-223.124068	-227.906667
0.460000	127.898752	335.265413	-220.459949	-240.013333
0.470000	128.020305	335.265413	-217.780514	-250.720000
0.480000	124.922441	335.265413	-215.124529	-256.866667
0.490000	117.138327	335.265413	-212.587386	-256.066667
0.500000	109.833307	335.265413	-210.215049	-255.756667
0.510000	97.443239	335.265413	-208.020554	-253.936667
0.520000	83.535855	335.265413	-206.171589	-250.546667
# Energy Storage Capacity at max strain 0.47000000000000003 is 0.940 MJ/L or 132.790 Wh/Kg, Thickness 0.0 Ang 
# Estimated yield strength: 2.703036 GPa # ideal_strength ultimate strength: 128.020305 GPa
