# Strain	Stress (N/m)	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m)
0.0	0.0	0.0	0.0	0.0
0.010000	1.283598	105.630529	-18.624144	0.032133
0.015000	1.696874	105.779775	-18.621192	0.051000
0.020000	2.105554	105.927909	-18.616859	0.069467
0.030000	2.909416	106.220837	-18.603831	0.104667
0.040000	3.695691	106.509313	-18.585306	0.137600
0.050000	4.465289	106.793338	-18.545564	0.161067
0.060000	5.217599	107.072911	-18.531953	0.196267
0.070000	5.957137	107.348033	-18.497224	0.222133
0.080000	6.681970	107.618702	-18.457318	0.246800
0.090000	7.387504	107.884920	-18.412426	0.269667
0.100000	8.080702	108.146686	-18.362789	0.290600
0.110000	8.761773	108.404001	-18.308486	0.309800
0.120000	9.423477	108.656863	-18.249388	0.326400
0.130000	10.068914	108.905274	-18.185848	0.341067
0.140000	10.698620	109.149234	-18.117900	0.353533
0.150000	11.311275	109.388741	-18.045707	0.363933
0.160000	11.907209	109.623797	-17.969211	0.372133
0.170000	12.485745	109.854401	-17.888667	0.378267
0.180000	13.047191	110.080554	-17.563001	0.411000
0.190000	13.599258	110.302255	-17.715692	0.381667
0.200000	14.121918	110.519504	-17.623630	0.381200
0.210000	14.629886	110.732301	-17.528011	0.377733
0.220000	15.112745	110.940646	-17.428781	0.374533
0.230000	15.583720	111.144540	-17.326312	0.367467
0.240000	16.038471	111.343982	-17.221484	0.356600
0.250000	16.467238	111.538973	-17.113163	0.344333
0.260000	16.873862	111.729512	-17.001945	0.329667
0.270000	17.258444	111.915599	-16.888058	0.312667
0.280000	17.620530	112.097234	-16.771640	0.293067
0.290000	17.957163	112.274417	-16.652828	0.271067
0.300000	18.267899	112.447149	-16.532070	0.249867
0.310000	18.550322	112.615429	-16.408993	0.222067
0.320000	18.802801	112.779258	-16.284123	0.193400
0.330000	19.019867	112.938635	-16.157634	0.162133
0.340000	19.199488	113.093560	-16.029694	0.128667
0.350000	19.337061	113.244033	-15.899821	0.088200
0.360000	19.422945	113.390054	-15.769330	0.047000
0.370000	19.436362	113.531624	-15.641521	0.029400
0.380000	19.397764	113.668742	-15.511574	-0.012733
0.390000	19.289946	113.801409	-15.381613	-0.059733
0.400000	19.103589	113.929623	-15.252537	-0.108667
0.410000	18.854150	114.053386	-15.124945	-0.160667
# Energy Storage Capacity at max strain 0.3700 is 5.242 MJ/L or 659.345 Wh/Kg, Thickness 3.43 Å 
# Estimated Stiffness (E) is 79.556310 N/m
# Estimated Stiffness constant (E-A) (K) is 129.722128 N/m
# Estimated Stiffness constant (P-A) (K) is 289.715265 N/m
# Estimated Bp (E-V) (K) is 0.000000 
