# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	3.925070	107.445804	-18.608145	0.265400
0.015000	5.809145	108.512257	-18.592555	0.390800
0.020000	7.596467	109.583977	-18.570765	0.510000
0.030000	10.895273	111.743215	-18.509355	0.729800
0.040000	13.855398	113.923519	-18.425904	0.927000
0.050000	16.511635	116.124889	-18.322532	1.103800
0.060000	18.883832	118.347324	-18.200494	1.261800
0.070000	20.996862	120.590825	-18.061563	1.402600
0.080000	22.871758	122.855392	-17.907188	1.527400
0.090000	24.527163	125.141025	-17.738731	1.637800
0.100000	25.979765	127.447724	-17.557518	1.734400
0.110000	27.245607	129.775488	-17.364769	1.818800
0.120000	28.337574	132.124318	-17.161532	1.891400
0.130000	29.269672	134.494214	-16.949007	1.953400
0.140000	30.052672	136.885175	-16.728048	2.005600
0.150000	30.700023	139.297202	-16.499855	2.048600
0.160000	31.220650	141.730295	-16.265180	2.083200
0.170000	31.624042	144.184454	-16.024894	2.110000
0.180000	31.919650	146.659678	-15.779869	2.129800
0.190000	32.114199	149.155968	-15.530786	2.142600
0.200000	32.215180	151.673324	-15.278450	2.149200
0.210000	32.229012	154.211746	-15.023556	2.150200
0.220000	32.161146	156.771233	-14.766728	2.145600
0.230000	32.016064	159.351786	-14.508650	2.135800
0.240000	31.798002	161.953405	-14.249927	2.121200
0.250000	31.512211	164.576089	-13.991185	2.102200
0.260000	31.165024	167.219840	-13.732955	2.079000
# Energy Storage Capacity at max strain 0.2100 is 4.933 MJ/L or 620.529 Wh/Kg, Thickness 3.43 Å 
# Energy Storage Capacity at max strain 0.2100 is 4.933 MJ/L or 620.529 Wh/Kg, Thickness 3.43 Å 
# Estimated Stiffness (E) is 314.666027 N/m
# Estimated Stiffness constant (E-A) (K) is 2281.302333 N/m
# Estimated Stiffness constant (P-A) (K) is 150.698691 N/m
# Estimated Bp (E-V) (K) is 5.238288 
# Estimated Yield strength using 0.002 offset is 20.996862 N/m
# Estimated Resilience is 0.214254 J/m^3
# Estimated Toughness is 1.786485 J/m^3
# Estimated Ductility(%) is 21.000 %
# Estimated Ductility Index(%) is 200.000 %
# Tensile_biaxial ultimate strength: 32.229012 N/m
