#Strain	Work Hardening Rate
0.01	335.6050676272337
0.015	330.8521487924604
0.02	316.7278311431509
0.03	302.8877525930672
0.04	284.9502691240568
0.05	267.5025701455739
0.06	250.21320805236144
0.07	233.38150825354637
0.08	216.87653030533497
0.09000000000000001	200.49074184421704
0.1	184.41315678713428
0.11	168.0889010511716
0.12000000000000001	151.6068440161314
0.13	135.31461785162813
0.13999999999999999	118.89328926415483
0.15	102.50877030001489
0.16	86.15674672559028
0.16999999999999998	69.49605612471824
0.18	52.64805727825101
0.19	35.53078902986046
0.19999999999999998	18.054350851598155
0.21	0.2596166735013836
0.22	-20.325291404869372
0.22999999999999998	-40.47741489800993
0.24	-61.040774265777685
0.25	-73.03291273476368
