# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	4.206582	106.381984	-18.561808	0.103200
0.015000	5.934275	106.908628	-18.548492	0.169133
0.020000	7.613514	107.435271	-18.599363	0.265133
0.030000	10.823632	108.488558	-18.569624	0.388733
0.040000	13.834392	109.541845	-18.529553	0.504333
0.050000	16.646270	110.595132	-18.480013	0.612067
0.060000	19.252587	111.648419	-18.421471	0.712000
0.070000	21.643221	112.701706	-18.354617	0.803933
0.080000	23.805869	113.754993	-18.280456	0.888133
0.090000	25.736430	114.808280	-18.115310	0.936467
0.100000	27.332736	115.861567	-18.112639	1.030933
0.110000	28.608545	116.914854	-18.020857	1.088267
0.120000	29.499095	117.968141	-17.925396	1.134933
0.130000	30.003824	119.021428	-17.827433	1.169867
0.140000	30.220207	120.074715	-17.729556	1.193400
0.150000	30.265801	121.128002	-17.629086	1.208400
0.160000	30.354766	122.181289	-17.530167	1.220867
0.170000	30.505863	123.234576	-17.431214	1.233333
0.180000	30.697350	124.287863	-17.330917	1.244467
0.190000	30.781876	125.341150	-17.230479	1.247400
0.200000	30.770291	126.394437	-17.129598	1.246733
0.210000	30.613478	127.447724	-17.028931	1.239733
0.220000	30.242749	128.501011	-16.928990	1.225067
0.230000	29.623210	129.554298	-16.831036	1.197200
0.240000	28.560296	130.607585	-16.735618	1.155667
# Energy Storage Capacity at max strain 0.1900 is 4.263 MJ/L or 536.222 Wh/Kg, Thickness 3.43 Å 
# Energy Storage Capacity at max strain 0.1900 is 4.263 MJ/L or 536.222 Wh/Kg, Thickness 3.43 Å 
# Estimated Stiffness (E) is 311.271650 N/m
# Estimated Stiffness constant (E-A) (K) is 4909.888728 N/m
# Estimated Stiffness constant (P-A) (K) is 307.460593 N/m
# Estimated Bp (E-V) (K) is 10.119267 
# Estimated Yield strength using 0.002 offset is 23.805869 N/m
# Estimated Resilience is 0.277619 J/m^3
# Estimated Toughness is 1.592360 J/m^3
# Estimated Ductility(%) is 19.000 %
# Estimated Ductility Index(%) is 137.500 %
# Tensile_y ultimate strength: 30.781876 N/m
