# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	1.845129	105.328697	-18.621671	-0.006800
0.015000	2.545246	105.328697	-18.618038	-0.006800
0.020000	3.245217	105.328697	-18.613251	-0.006933
0.030000	4.641425	105.328697	-18.600229	-0.007733
0.040000	6.030372	105.328697	-18.582487	-0.009600
0.050000	7.419268	105.328697	-18.560155	-0.012467
0.060000	8.803650	105.328697	-18.533227	-0.016267
0.070000	10.184409	105.328697	-18.501666	-0.021267
0.080000	11.561799	105.328697	-18.465656	-0.027467
0.090000	12.935628	105.328697	-18.425189	-0.035000
0.100000	14.307313	105.328697	-18.380227	-0.044133
0.110000	15.677367	105.328697	-18.330913	-0.054733
0.120000	17.047045	105.328697	-18.277124	-0.067067
0.130000	18.417952	105.328697	-18.218982	-0.081267
0.140000	19.791983	105.328697	-18.156464	-0.097400
0.150000	21.167184	105.328697	-18.089566	-0.115533
0.160000	22.547284	105.328697	-18.018212	-0.135800
0.170000	23.934603	105.328697	-17.942255	-0.158267
0.180000	25.325582	105.328697	-17.836015	-0.160333
0.190000	26.707705	105.328697	-17.775961	-0.207333
0.200000	28.096664	105.328697	-17.685553	-0.232400
0.210000	29.484089	105.328697	-17.590481	-0.257467
0.220000	30.864779	105.328697	-17.491023	-0.282600
0.230000	32.236245	105.328697	-17.387221	-0.308467
0.240000	33.592980	105.328697	-17.279061	-0.335533
0.250000	34.929924	105.328697	-17.166615	-0.363600
0.260000	36.242989	105.328697	-17.049724	-0.392533
0.270000	37.528533	105.328697	-16.928725	-0.421733
0.280000	38.782046	105.328697	-16.803401	-0.451600
0.290000	40.002230	105.328697	-16.674033	-0.481733
0.300000	41.181916	105.328697	-16.540687	-0.512267
0.310000	42.320903	105.328697	-16.403450	-0.543467
0.320000	43.422885	105.328697	-16.143311	-0.534267
0.330000	44.461189	105.328697	-16.117992	-0.608000
0.340000	45.458646	105.328697	-15.969957	-0.641867
0.350000	46.418886	105.328697	-15.819077	-0.669800
0.360000	47.307581	105.328697	-15.665010	-0.702933
0.370000	48.129986	105.328697	-15.508096	-0.736867
0.380000	48.881637	105.328697	-15.348565	-0.771800
0.390000	49.550388	105.328697	-15.186734	-0.807333
0.400000	50.127857	105.328697	-15.022793	-0.843533
0.410000	50.608175	105.328697	-14.857227	-0.878400
0.420000	50.979639	105.328697	-14.690197	-0.914733
0.430000	51.236140	105.328697	-14.522129	-0.951133
0.440000	51.373041	105.328697	-14.353384	-0.987400
0.450000	51.386403	105.328697	-14.184165	-1.025267
0.460000	51.283056	105.328697	-14.015546	-1.058867
0.470000	51.064894	105.328697	-13.847293	-1.093667
0.480000	50.745371	105.328697	-13.679568	-1.131600
0.490000	50.338375	105.328697	-13.513312	-1.166467
0.500000	49.860141	105.328697	-13.348912	-1.196800
# Energy Storage Capacity at max strain 0.4500 is 16.854 MJ/L or 2120.102 Wh/Kg, Thickness 3.43 Å 
# Energy Storage Capacity at max strain 0.4500 is 16.854 MJ/L or 2120.102 Wh/Kg, Thickness 3.43 Å 
# Estimated Stiffness (E) is 139.174150 N/m
# Estimated Stiffness constant (E-A) (K) is 0.000000 N/m
# Estimated Stiffness constant (P-A) (K) is 0.000000 N/m
# Estimated Bp (E-V) (K) is 0.000000 
# Estimated Yield strength using 0.002 offset is 40.002230 N/m
# Estimated Resilience is 1.691056 J/m^3
# Estimated Toughness is 4.529261 J/m^3
# Estimated Ductility(%) is 45.000 %
# Estimated Ductility Index(%) is 55.172 %
# ideal_strength ultimate strength: 51.386403 N/m
