#SurfaceTension (N/m)	Enthalpy(eV)	Strain	Stress(N/m)
-0.0029601657297347412	-18.62373448	0.01	3.925069558
-0.003548925503761997	-18.611245625000002	0.015	5.809145164
-0.007899084690193181	-18.612364605	0.02	7.596467420000001
-0.013753160701895858	-18.581785535	0.03	10.895273032
-0.01773714712628167	-18.51931587	0.04	13.855397611999999
-0.021400627355520372	-18.43523736	0.05	16.511635176
-0.02477663037497361	-18.33097883	0.06	18.883832132000002
-0.02784673765246074	-18.208216359999998	0.07	20.996861940000002
-0.030650016413789317	-18.068604575000002	0.08	22.871758438
-0.03319797064630125	-17.913565650000002	0.09000000000000001	24.52716338
-0.03550421962031073	-17.74449902	0.1	25.979765134000004
-0.03759529076920084	-17.56276253	0.11	27.245607172000003
-0.03947288828190297	-17.369413455	0.12000000000000001	28.337573796
-0.0411553300532561	-17.165748455	0.13	29.269672404
-0.04264284489079885	-16.952624094999997	0.13999999999999999	30.052672082
-0.04394508733338394	-16.731289000000004	0.15	30.70002325
-0.045093225524976056	-16.502660985	0.16	31.220649528000003
-0.046075859913209775	-16.267549504999998	0.16999999999999998	31.624041608
-0.04691103211494229	-16.026923315	0.18	31.919649878
-0.047605237036288654	-15.78149608	0.19	32.114198672
-0.04815689011383569	-15.532064785	0.19999999999999998	32.215180494
-0.04858328103261093	-15.279416635	0.21	32.229012404
-0.04888566775937373	-15.024181474999999	0.22	32.16114556
-0.04906560352704399	-14.767050385000001	0.22999999999999998	32.016063554
-0.04912853034729472	-14.508658885	0.24	31.798001518000003
-0.0491302971972115	-14.24992668	0.25	31.512211226
