#SurfaceTension (N/m)	Enthalpy(eV)	Strain	Stress(N/m)
-0.0006899803683212555	-18.625305163333334	0.01	1.8451290180000002
-0.0007994722127359663	-18.62224805833333	0.015	2.545245604
-0.001690770935415295	-18.622155024999998	0.02	3.2452171179999993
-0.0029207481720532617	-18.615610950000004	0.03	4.641425470000001
-0.0038046820136172065	-18.602523939999998	0.04	6.0303716430000005
-0.004676788435883652	-18.584784801666668	0.05	7.419267745000001
-0.005552938074080379	-18.562471013333333	0.06	8.803649722000001
-0.006415224443881003	-18.53545178833334	0.07	10.184408959000002
-0.007260839510301585	-18.503894841666664	0.08	11.56179882
-0.008110721536676666	-18.467903536666668	0.09000000000000001	12.935627798000002
-0.008950684455594524	-18.427365126666672	0.1	14.307313277999999
-0.009788650767646486	-18.38246384833333	0.11	15.677366502000002
-0.010626759174559724	-18.333089481666665	0.12000000000000001	17.047045183
-0.011455593122641732	-18.27931242166667	0.13	18.417952169
-0.012286867368001917	-18.221172063333334	0.13999999999999999	19.791983057
-0.0131258068241509	-18.158692520000002	0.15	21.167184268
-0.013985829486723575	-18.091867123333337	0.16	22.547284376
-0.017297867982025265	-18.033353488333333	0.16999999999999998	23.934603167000002
-0.015788137293271397	-17.919162670000002	0.18	25.325581891000002
-0.014285033794936192	-17.8511922	0.19	26.707705438
-0.01760960512033037	-17.778292911666668	0.19999999999999998	28.096664284000003
-0.018468901168643446	-17.687746588333333	0.21	29.484089240000003
-0.019297703786231662	-17.59265264333333	0.22	30.864779014
-0.020123852173074653	-17.49320208	0.22999999999999998	32.236244747
-0.02094449936842474	-17.389363471666666	0.24	33.592979534
-0.02177340705392875	-17.28128367	0.25	34.929924476
-0.022585501974130742	-17.168669245	0.26	36.242989249
-0.02338615113740295	-17.051886931666672	0.27	37.528533203
-0.024180753832017995	-16.930747251666666	0.28	38.782045932
-0.024942255069727994	-16.805389321666667	0.29000000000000004	40.002229928
-0.025689364851238114	-16.67597873	0.30000000000000004	41.181915826
-0.03772728676865502	-16.602138125	0.31	42.320902587000006
-0.027101611186091498	-16.286039636666672	0.32	43.422885206000004
-0.016458373438153668	-16.204669038333332	0.33	44.46118897400001
-0.02837923482360193	-16.119414255	0.34	45.458645615
-0.028951960031134868	-15.971550914999998	0.35000000000000003	46.418886454
-0.029524857398144096	-15.820500378333334	0.36000000000000004	47.307581467000006
-0.03004350617496144	-15.666317995	0.37000000000000005	48.129985967
-0.030510334633020355	-15.509245993333336	0.38	48.88163704
-0.03092910084911878	-15.349620541666669	0.39	49.550388350000006
-0.03128369398758268	-15.187546650000002	0.4	50.127857412
-0.031577001517271365	-15.023525594999999	0.41000000000000003	50.608174528000006
-0.03181457937892304	-14.85774608	0.42000000000000004	50.979638825
-0.03197731913657565	-14.690535021666667	0.43000000000000005	51.236139875999996
-0.03208654926061069	-14.522365455	0.44	51.37304052900001
-0.03207463481216584	-14.353084085	0.45	51.386403054
-0.031982925395984005	-14.183981776666666	0.46	51.283055644
-0.03189805710368704	-14.015282163333332	0.47000000000000003	51.06489434400001
-0.03170843230197528	-13.846558096666666	0.48000000000000004	50.74537122000001
-0.03156886413380167	-13.679567703333333	0.49000000000000005	50.338375417
