#Area  (Å²)	Stiffness_Const (N/m)	Bp	Stress (N/m)
5.2890	-291.8318	0.2740	1.6969
5.2964	-291.7198	0.6940	2.1056
5.3110	-290.4979	1.4288	2.9094
5.3255	-289.4447	1.3727	3.6957
5.3397	-288.3632	0.9592	4.4653
5.3536	-287.9697	0.2328	5.2176
5.3674	-288.0085	0.8917	5.9571
5.3809	-286.6913	1.5320	6.6820
5.3942	-285.8063	0.2494	7.3875
5.4073	-286.3178	0.3967	8.0807
5.4202	-285.2885	2.2539	8.7618
5.4328	-283.3197	2.4834	9.4235
5.4453	-282.0265	2.2514	10.0689
5.4575	-280.4566	2.7974	10.6986
5.4694	-278.5614	3.3118	11.3113
5.4812	-276.4612	3.7643	11.9072
5.4927	-274.1486	2.3693	12.4857
5.5040	-273.7055	3.8027	13.0472
5.5151	-269.9703	8.3285	13.5993
5.5260	-264.8441	9.2312	14.1219
5.5366	-260.4396	8.2133	14.6299
5.5470	-256.6838	5.5867	15.1127
5.5572	-255.0594	8.1316	15.5837
5.5672	-249.3055	15.3820	16.0385
5.5769	-241.6069	17.5469	16.4672
5.5865	-234.6293	18.3390	16.8739
5.5958	-227.1476	22.2273	17.2584
5.6049	-218.1540	28.2570	17.6205
5.6137	-207.5718	35.4336	17.9572
5.6224	-195.4145	45.0432	18.2679
5.6308	-181.1739	60.6246	18.5503
5.6390	-163.5649	85.1207	18.8028
5.6469	-142.2185	121.1794	19.0199
5.6547	-117.0575	193.5617	19.1995
5.6622	-84.7932	423.5239	19.3371
5.6695	-38.2859	3246.4180	19.4229
5.6766	10.9408	6338.1531	19.4364
5.6834	62.6861	-1150.7270	19.3978
5.6901	129.5691	-527.8992	19.2899
5.6965	198.1728	-265.0484	19.1036
5.7027	229.8699	-127.0732	18.8541
