#Area  (Å²)	Stiffness_Const (N/m)	Bp	Stress (N/m)
5.4256	-180.9675	1.8462	5.8091
5.4792	-177.6677	2.9453	7.5965
5.5872	-161.2597	5.0501	10.8953
5.6962	-146.1081	5.2056	13.8554
5.8062	-132.0734	5.4197	16.5116
5.9174	-118.9286	5.6610	18.8838
6.0295	-106.7412	5.9232	20.9969
6.1428	-95.3771	6.2524	22.8718
6.2571	-84.7474	6.6460	24.5272
6.3724	-74.8070	7.1257	25.9798
6.4888	-65.4753	7.7207	27.2456
6.6062	-56.7161	8.4548	28.3376
6.7247	-48.4907	9.3664	29.2697
6.8443	-40.8005	10.5235	30.0527
6.9649	-33.6123	12.1733	30.7000
7.0865	-26.8268	14.5639	31.2206
7.2092	-20.4735	18.3507	31.6240
7.3330	-14.4854	25.6157	31.9196
7.4578	-8.8157	44.8310	32.1142
7.5837	-3.4663	329.4353	32.2152
7.7106	1.6142	479.6633	32.2290
7.8386	6.4759	-59.0702	32.1611
7.9676	11.1488	-27.5016	32.0161
8.0977	15.6030	-15.1154	31.7980
8.2288	17.9336	-8.1550	31.5122
