#Area  (Å²)	Stiffness_Const (N/m)	Bp	Stress (N/m)
5.3454	-340.8853	2.0038	5.9343
5.3718	-337.5204	3.1500	7.6135
5.4244	-320.3753	5.6011	10.8236
5.4771	-302.7772	6.1919	13.8344
5.5298	-284.4552	7.0405	16.6463
5.5824	-264.8384	8.2345	19.2526
5.6351	-243.6006	9.6982	21.6432
5.6877	-221.0333	12.8088	23.8059
5.7404	-192.2143	18.5004	25.7364
5.7931	-157.9664	25.9684	27.3327
5.8457	-120.2329	39.9970	28.6085
5.8984	-78.1356	64.3853	29.4991
5.9511	-40.7428	105.7184	30.0038
6.0037	-14.9327	151.1121	30.2202
6.0564	-7.7371	80.7819	30.2658
6.1091	-13.9236	-58.7724	30.3548
6.1617	-20.0412	-13.9788	30.5059
6.2144	-16.2848	104.0458	30.6973
6.2671	-4.3400	-1467.2319	30.7819
6.3197	10.1039	-1170.5636	30.7703
6.3724	31.9163	-120.5945	30.6135
6.4251	60.4064	-57.6242	30.2427
6.4777	76.2033	-25.4978	29.6232
