#Area  (Å²)	Stiffness_Const (N/m)	Bp	Stress (N/m)
5.2664	-inf	nan	2.5452
5.2664	-inf	nan	3.2452
5.2664	-inf	nan	4.6414
5.2664	-inf	nan	6.0304
5.2664	-inf	nan	7.4193
5.2664	-inf	nan	8.8036
5.2664	-inf	nan	10.1844
5.2664	-inf	nan	11.5618
5.2664	-inf	nan	12.9356
5.2664	-inf	nan	14.3073
5.2664	-inf	nan	15.6774
5.2664	-inf	nan	17.0470
5.2664	-inf	nan	18.4180
5.2664	-inf	nan	19.7920
5.2664	-inf	nan	21.1672
5.2664	-inf	nan	22.5473
5.2664	-inf	nan	23.9346
5.2664	-inf	nan	25.3256
5.2664	-inf	nan	26.7077
5.2664	-inf	nan	28.0967
5.2664	-inf	nan	29.4841
5.2664	-inf	nan	30.8648
5.2664	-inf	nan	32.2362
5.2664	-inf	nan	33.5930
5.2664	-inf	nan	34.9299
5.2664	-inf	nan	36.2430
5.2664	-inf	nan	37.5285
5.2664	-inf	nan	38.7820
5.2664	-inf	nan	40.0022
5.2664	-inf	nan	41.1819
5.2664	-inf	nan	42.3209
5.2664	-inf	nan	43.4229
5.2664	-inf	nan	44.4612
5.2664	-inf	nan	45.4586
5.2664	-inf	nan	46.4189
5.2664	-inf	nan	47.3076
5.2664	-inf	nan	48.1300
5.2664	-inf	nan	48.8816
5.2664	-inf	nan	49.5504
5.2664	-inf	nan	50.1279
5.2664	-inf	nan	50.6082
5.2664	-inf	nan	50.9796
5.2664	-inf	nan	51.2361
5.2664	-inf	inf	51.3730
5.2664	inf	inf	51.3864
5.2664	inf	nan	51.2831
5.2664	inf	nan	51.0649
5.2664	inf	nan	50.7454
5.2664	inf	nan	50.3384
