#T(K), Kl_SlackLow(W/mK), Kl_SlackSim(W/mK), Kl_CahillLow(W/mK), Cv(J/molK), S(J/molK), S_Debye(J/molK), H(eV), mpf(µm)
10.0000 0.0001 177.2083 0.0003 0.0054 0.0027 0.0000 -0.0000 960525672360.4823
20.0000 0.0005 88.6041 0.0013 0.0217 0.0109 0.0000 -0.0000 120065709045.0603
30.0000 0.0016 59.0694 0.0029 0.0489 0.0244 0.0001 -0.0000 35575024902.2401
40.0000 0.0038 44.3021 0.0052 0.0869 0.0435 0.0003 -0.0000 15008213630.6325
50.0000 0.0074 35.4417 0.0081 0.1358 0.0679 0.0006 -0.0001 7684205378.8839
60.0000 0.0128 29.5347 0.0117 0.1956 0.0978 0.0010 -0.0001 4446878112.7800
70.0000 0.0203 25.3155 0.0159 0.2662 0.1331 0.0016 -0.0002 2800366391.7215
80.0000 0.0303 22.1510 0.0208 0.3477 0.1739 0.0024 -0.0003 1876026703.8291
90.0000 0.0432 19.6898 0.0263 0.4401 0.2200 0.0035 -0.0004 1317593514.8978
100.0000 0.0593 17.7208 0.0325 0.5433 0.2717 0.0048 -0.0006 960525672.3605
110.0000 0.0789 16.1098 0.0394 0.6574 0.3287 0.0063 -0.0007 721657154.2904
120.0000 0.1024 14.7674 0.0468 0.7824 0.3912 0.0082 -0.0010 555859764.0975
130.0000 0.1302 13.6314 0.0550 0.9182 0.4591 0.0104 -0.0012 437198758.4709
140.0000 0.1626 12.6577 0.0637 1.0649 0.5324 0.0130 -0.0015 350045798.9652
150.0000 0.2000 11.8139 0.0732 1.2224 0.6112 0.0160 -0.0019 284600199.2179
160.0000 0.2427 11.0755 0.0833 1.3909 0.6954 0.0195 -0.0023 234503337.9786
170.0000 0.2910 10.4240 0.0940 1.5701 0.7851 0.0234 -0.0028 195506955.4978
180.0000 0.3452 9.8449 0.1054 1.7603 0.8801 0.0277 -0.0033 164699189.3622
190.0000 0.4055 9.3268 0.1174 1.9613 0.9807 0.0326 -0.0039 140038733.3956
