# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	2.281748	105.328712	-18.601147	-0.283333
0.020000	5.326868	105.328712	-18.588373	-0.273333
0.030000	8.349009	105.328712	-18.541684	-0.312667
0.040000	11.399419	105.328712	-18.460292	-0.410000
0.050000	14.444538	105.328712	-18.343722	-0.566000
0.060000	17.468542	105.328712	-18.296186	-0.821333
0.070000	20.475103	105.328712	-18.171826	-1.057333
0.080000	23.458382	105.328712	-18.028003	-1.330000
0.090000	26.408632	105.328712	-17.864938	-1.642667
0.100000	29.329426	105.328712	-17.683010	-2.008000
0.110000	32.195618	105.328712	-17.482574	-2.416667
0.120000	34.989661	105.328712	-17.264617	-2.910667
0.130000	37.705478	105.328712	-17.028265	-3.372000
0.140000	40.310095	105.328712	-16.775631	-3.921333
0.150000	42.782040	105.328712	-16.507131	-4.517333
0.160000	45.098336	105.328712	-16.223643	-5.166000
0.170000	47.230818	105.328712	-15.895501	-4.858667
0.180000	49.108920	105.328712	-15.616611	-6.694000
0.190000	50.771757	105.328712	-15.297225	-7.414667
0.200000	17.504953	105.328712	51.057755	-147.688667
# Energy Storage Capacity at max strain 0.19 is 7.031 MJ/L or 884.447 Wh/Kg, Thickness 3.43 Ang 
# Estimated yield strength: 2.009235 N/m # Shear ultimate strength: 50.771757 N/m
