# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	3.925677	107.445819	-18.608146	2.654000
0.020000	7.596862	109.583992	-18.570762	5.100000
0.030000	10.895277	111.743230	-18.509351	7.298000
0.040000	13.855133	113.923534	-18.425901	9.268000
0.050000	16.511642	116.124905	-18.322532	11.038000
0.060000	18.883858	118.347340	-18.200494	12.618000
0.070000	20.996891	120.590842	-18.061563	14.026000
0.080000	22.871786	122.855409	-17.907188	15.274000
0.090000	24.527189	125.141042	-17.738730	16.378000
0.100000	25.979783	127.447741	-17.557518	17.344000
0.110000	27.245638	129.775506	-17.364769	18.188000
0.120000	28.337567	132.124336	-17.161531	18.914000
0.130000	29.269686	134.494232	-16.949006	19.534000
0.140000	30.052670	136.885194	-16.728047	20.056000
0.150000	30.700007	139.297221	-16.499854	20.486000
0.160000	31.220615	141.730314	-16.265179	20.832000
0.170000	31.624084	144.184473	-16.024893	21.100000
0.180000	31.919665	146.659698	-15.779868	21.298000
0.190000	32.114213	149.155989	-15.530785	21.426000
0.200000	32.215014	151.673345	-15.278452	21.492000
0.210000	32.228982	154.211767	-15.023554	21.502000
0.220000	32.161065	156.771254	-14.766727	21.456000
0.230000	32.015954	159.351808	-14.508648	21.358000
0.240000	31.797980	161.953427	-14.249925	21.212000
0.250000	31.512156	164.576112	-13.991183	21.022000
0.260000	31.164904	167.219863	-13.732953	20.790000
# Energy Storage Capacity at max strain 0.21000000000000002 is 4.933 MJ/L or 620.529 Wh/Kg, Thickness 3.43 Ang 
# Estimated yield strength: 3.597868 N/m # Tensile_biaxial ultimate strength: 32.228982 N/m
