# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	2.706923	106.381999	-18.612359	0.125000
0.015000	4.349717	106.908642	-18.608466	0.191200
0.020000	5.944800	107.435286	-18.601562	0.255200
0.030000	8.994671	108.488573	-18.579202	0.376867
0.040000	11.864131	109.541860	-18.546294	0.490400
0.050000	14.558847	110.595147	-18.503883	0.596333
0.060000	17.088513	111.648434	-18.452515	0.694933
0.070000	19.453137	112.701721	-18.392949	0.786200
0.080000	21.668191	113.755009	-18.325805	0.870667
0.090000	23.706133	114.808296	-18.251643	0.948067
0.100000	25.595452	115.861583	-18.171009	1.018867
0.110000	27.337769	116.914870	-18.084281	1.083067
0.120000	28.934039	117.968157	-17.991958	1.140867
0.130000	30.392048	119.021444	-17.894305	1.192267
0.140000	31.705772	120.074731	-17.791845	1.237467
0.150000	32.881130	121.128018	-17.684851	1.276400
0.160000	33.928921	122.181305	-17.573688	1.309267
0.170000	34.829750	123.234593	-17.458628	1.336067
0.180000	35.620759	124.287880	-17.339913	1.356867
0.190000	36.277464	125.341167	-17.217871	1.371733
0.200000	36.814259	126.394454	-17.092759	1.380867
0.210000	37.236288	127.447741	-16.964639	1.384200
0.220000	37.550151	128.501028	-16.833568	1.381933
0.230000	37.765582	129.554315	-16.699536	1.374333
0.240000	37.929203	130.607602	-16.619681	1.456200
0.250000	37.985103	131.660890	-16.495161	1.455400
0.260000	37.974611	132.714177	-16.288168	1.278400
0.270000	37.913405	133.767464	-16.142953	1.247000
0.280000	37.806193	134.820751	-15.994310	1.211533
0.290000	37.658971	135.874038	-15.842196	1.172400
0.300000	37.476705	136.927325	-15.686597	1.129667
# Energy Storage Capacity at max strain 0.25 is 6.921 MJ/L or 870.662 Wh/Kg, Thickness 3.43 Ang 
# Estimated yield strength: 2.706923 N/m
# Estimated yield strength using linearity method: 2.706923 N/m# Tensile_x ultimate strength: 37.985103 N/m
