# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	0.753599	105.328712	-18.595185	-0.306667
0.020000	2.279361	105.328712	-18.601345	-0.283333
0.030000	3.809154	105.328712	-18.599322	-0.270667
0.040000	5.337158	105.328712	-18.588859	-0.273333
0.050000	6.861472	105.328712	-18.569956	-0.286000
0.060000	8.391617	105.328712	-18.542639	-0.314000
0.070000	9.938306	105.328712	-18.506966	-0.354667
0.080000	11.492147	105.328712	-18.462834	-0.412000
0.090000	13.047930	105.328712	-18.410594	-0.484000
0.100000	14.606699	105.328712	-18.350210	-0.568667
0.110000	16.161155	105.328712	-18.348588	-0.734000
0.120000	17.721834	105.328712	-18.292861	-0.844000
0.130000	19.285934	105.328712	-18.231936	-0.960667
0.140000	20.852233	105.328712	-18.165882	-1.090000
0.150000	22.420967	105.328712	-18.094695	-1.228667
0.160000	23.989104	105.328712	-18.018253	-1.380667
0.170000	25.560343	105.328712	-17.936584	-1.545333
0.180000	27.132148	105.328712	-17.849818	-1.721333
0.190000	28.704634	105.328712	-17.757868	-1.909333
0.200000	30.274952	105.328712	-17.660738	-2.112000
0.210000	31.847068	105.328712	-17.559647	-2.366000
0.220000	33.414283	105.328712	-17.451273	-2.560000
0.230000	34.972442	105.328712	-17.338856	-2.800667
0.240000	36.524115	105.328712	-17.221358	-3.058000
0.250000	38.065231	105.328712	-17.098842	-3.324667
0.260000	39.587249	105.328712	-16.972322	-3.665333
0.270000	41.095982	105.328712	-16.839700	-3.953333
0.280000	42.585315	105.328712	-16.702084	-4.249333
0.290000	44.052770	105.328712	-16.559665	-4.552000
0.300000	45.496649	105.328712	-16.412419	-4.864000
0.310000	46.915625	105.328712	-16.260504	-5.184000
0.320000	48.309032	105.328712	-16.103970	-5.516000
0.330000	49.677194	105.328712	-15.942961	-5.860000
0.340000	51.018988	105.328712	-15.777401	-6.216667
0.350000	52.333408	105.328712	-15.607541	-6.603333
0.360000	53.625335	105.328712	-15.433343	-7.016000
0.370000	54.880522	105.328712	-15.254962	-7.430000
0.380000	56.102393	105.328712	-15.072424	-7.889333
0.390000	57.279265	105.328712	-14.885859	-8.376667
0.400000	58.397258	105.328712	-14.695476	-8.886000
0.410000	59.412076	105.328712	-14.501587	-9.416667
0.420000	60.249827	105.328712	-14.304739	-9.961333
0.430000	60.724452	105.328712	-14.105894	-10.504667
0.440000	60.334634	105.328712	-13.906946	-11.012000
0.450000	21.579501	105.328712	-14.415019	-3.714667
# Energy Storage Capacity at max strain 0.43 is 19.032 MJ/L or 2394.022 Wh/Kg, Thickness 3.43 Ang 
# Estimated yield strength: 0.633554 N/m # ideal_strength ultimate strength: 60.724452 N/m
