# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	0.753416	105.328712	-18.595179	-0.030667
0.015000	1.515799	105.328712	-18.599304	-0.029267
0.020000	2.279201	105.328712	-18.601335	-0.028333
0.030000	3.809079	105.328712	-18.599313	-0.027200
0.040000	5.337085	105.328712	-18.588853	-0.027333
0.050000	6.861243	105.328712	-18.569954	-0.028600
0.060000	8.391492	105.328712	-18.542639	-0.031400
0.070000	9.938131	105.328712	-18.506966	-0.035467
0.080000	11.491987	105.328712	-18.462830	-0.041200
0.090000	13.048687	105.328712	-18.410583	-0.048333
0.100000	14.606428	105.328712	-18.350191	-0.056800
0.110000	16.161019	105.328712	-18.348593	-0.073400
0.120000	17.721843	105.328712	-18.292866	-0.084400
0.130000	19.286116	105.328712	-18.231941	-0.096067
0.140000	20.852578	105.328712	-18.165885	-0.109000
0.150000	22.421433	105.328712	-18.094696	-0.122867
0.160000	23.989623	105.328712	-18.018253	-0.138067
0.170000	25.560798	105.328712	-17.936583	-0.154533
0.180000	27.132481	105.328712	-17.849815	-0.172133
0.190000	28.704817	105.328712	-17.757865	-0.190933
0.200000	30.274986	105.328712	-17.660735	-0.211200
0.210000	31.846768	105.328712	-17.559644	-0.236600
0.220000	33.414005	105.328712	-17.451271	-0.256067
0.230000	34.972151	105.328712	-17.338856	-0.280133
0.240000	36.523950	105.328712	-17.221358	-0.305800
0.250000	38.065026	105.328712	-17.098843	-0.332467
0.260000	39.587138	105.328712	-16.972323	-0.366533
0.270000	41.095982	105.328712	-16.839702	-0.395333
0.280000	42.585407	105.328712	-16.702085	-0.425000
0.290000	44.052770	105.328712	-16.559665	-0.455200
0.300000	45.496649	105.328712	-16.412419	-0.486400
0.310000	46.915625	105.328712	-16.260504	-0.518400
0.320000	48.309032	105.328712	-16.103970	-0.551600
0.330000	49.677195	105.328712	-15.942961	-0.586000
0.340000	51.018983	105.328712	-15.777401	-0.621667
0.350000	52.333406	105.328712	-15.607541	-0.660333
0.360000	53.625335	105.328712	-15.433343	-0.701600
0.370000	54.880522	105.328712	-15.254962	-0.743000
0.380000	56.102393	105.328712	-15.072424	-0.788933
0.390000	57.279267	105.328712	-14.885859	-0.837667
0.400000	58.397258	105.328712	-14.695476	-0.888600
0.410000	59.412076	105.328712	-14.501587	-0.941667
0.420000	60.249827	105.328712	-14.304739	-0.996133
0.430000	60.724451	105.328712	-14.105894	-1.050467
0.440000	60.334633	105.328712	-13.906946	-1.101200
0.450000	21.579499	105.328712	-14.415019	-0.371467
# Energy Storage Capacity at max strain 0.43000000000000005 is 19.032 MJ/L or 2394.022 Wh/Kg, Thickness 3.43 Ang 
# Estimated yield strength: 0.753416 N/m
# Estimated yield strength using linearity method: 60.334633 N/m# indent_strength ultimate strength: 60.724451 N/m
