# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	2.405642	104.791535	-18.602034	-0.101800
0.015000	4.019889	104.515047	-18.597930	-0.139267
0.020000	5.661708	104.233293	-18.583293	-0.179467
0.030000	9.020378	103.653985	-18.520383	-0.268733
0.040000	12.461542	103.053611	-18.441957	-0.378000
0.050000	16.018499	102.432172	-18.327276	-0.492867
0.060000	19.685589	101.789667	-18.182176	-0.616533
0.070000	23.443314	101.126096	-18.005023	-0.747267
0.080000	27.310914	100.441459	-17.794632	-0.883667
0.090000	31.239315	99.735757	-17.556165	-1.028667
0.100000	35.199333	99.008989	-17.279710	-1.169000
0.110000	39.226580	98.261155	-16.967875	-1.315467
0.120000	43.377913	97.492255	-16.619802	-1.474200
0.130000	47.700490	96.702290	-16.233112	-1.651667
0.140000	52.207671	95.891259	-15.805332	-1.846867
0.150000	56.878682	95.059162	-15.333914	-2.063667
0.160000	49.824967	94.206000	-15.003230	-1.495800
0.170000	29.123720	93.331771	-14.633148	-1.250200
# Energy Storage Capacity at max strain 0.1500 is 6.219 MJ/L or 782.234 Wh/Kg, Thickness 3.43 Å 
# Energy Storage Capacity at max strain 0.1500 is 6.219 MJ/L or 782.234 Wh/Kg, Thickness 3.43 Å 
# Estimated Stiffness (E) is 340.148454 N/m
# Estimated Stiffness constant (E-A) (K) is 28457.620797 N/m
# Estimated Stiffness constant (P-A) (K) is 0.000000 N/m
# Estimated Bp (E-V) (K) is 0.000000 
# Estimated Yield strength using 0.002 offset is 19.685589 N/m
# Estimated Resilience is 0.172177 J/m^3
# Estimated Toughness is 1.298951 J/m^3
# Estimated Ductility(%) is 15.000 %
# Estimated Ductility Index(%) is 150.000 %
# Shear ultimate strength: 56.878682 N/m
