# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	3.925100	107.445819	-18.608146	0.265400
0.015000	5.809174	108.512272	-18.592556	0.390800
0.020000	7.596495	109.583992	-18.570765	0.510000
0.030000	10.895299	111.743230	-18.509356	0.729800
0.040000	13.855421	113.923534	-18.425905	0.927000
0.050000	16.511657	116.124905	-18.322532	1.103800
0.060000	18.883850	118.347340	-18.200494	1.261800
0.070000	20.996880	120.590842	-18.061563	1.402600
0.080000	22.871774	122.855409	-17.907188	1.527400
0.090000	24.527178	125.141042	-17.738730	1.637800
0.100000	25.979778	127.447741	-17.557518	1.734400
0.110000	27.245619	129.775506	-17.364769	1.818800
0.120000	28.337584	132.124336	-17.161531	1.891400
0.130000	29.269682	134.494232	-16.949006	1.953400
0.140000	30.052680	136.885194	-16.728047	2.005600
0.150000	30.700030	139.297221	-16.499854	2.048600
0.160000	31.220655	141.730314	-16.265179	2.083200
0.170000	31.624046	144.184473	-16.024893	2.110000
0.180000	31.919654	146.659698	-15.779868	2.129800
0.190000	32.114202	149.155989	-15.530785	2.142600
0.200000	32.215183	151.673345	-15.278448	2.149200
0.210000	32.229014	154.211767	-15.023554	2.150200
0.220000	32.161146	156.771254	-14.766727	2.145600
0.230000	32.016063	159.351808	-14.508648	2.135800
0.240000	31.798001	161.953427	-14.249925	2.121200
0.250000	31.512210	164.576112	-13.991183	2.102200
0.260000	31.165022	167.219863	-13.732953	2.079000
# Energy Storage Capacity at max strain 0.2100 is 4.933 MJ/L or 620.529 Wh/Kg, Thickness 3.43 Å 
# Energy Storage Capacity at max strain 0.2100 is 4.933 MJ/L or 620.529 Wh/Kg, Thickness 3.43 Å 
# Estimated Stiffness (E) is 314.665800 N/m
# Estimated Stiffness constant (E-A) (K) is 2281.302711 N/m
# Estimated Stiffness constant (P-A) (K) is 150.698567 N/m
# Estimated Bp (E-V) (K) is 5.238289 
# Estimated Yield strength using 0.002 offset is 20.996880 N/m
# Estimated Resilience is 0.214254 J/m^3
# Estimated Toughness is 1.786486 J/m^3
# Estimated Ductility(%) is 21.000 %
# Estimated Ductility Index(%) is 200.000 %
# Tensile_biaxial ultimate strength: 32.229014 N/m
