# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	3.085299	106.381999	-18.611165	0.150715
0.015000	4.716117	106.908642	-18.606608	0.216191
0.020000	6.299424	107.435286	-18.599040	0.279604
0.030000	9.327918	108.488573	-18.575512	0.400043
0.040000	12.175345	109.541860	-18.541448	0.512363
0.050000	14.847951	110.595147	-18.497962	0.617298
0.060000	17.357749	111.648434	-18.445610	0.714714
0.070000	19.701946	112.701721	-18.385092	0.804943
0.080000	21.885347	113.755009	-18.317037	0.888252
0.090000	23.911799	114.808296	-18.241982	0.964641
0.100000	25.786287	115.861583	-18.160543	1.034508
0.110000	27.509837	116.914870	-18.072980	1.097589
0.120000	29.092762	117.968157	-17.979869	1.154614
0.130000	30.529303	119.021444	-17.881451	1.204919
0.140000	31.825436	120.074731	-17.778234	1.249102
0.150000	32.982333	121.128018	-17.670532	1.287097
0.160000	34.015285	122.181305	-17.558704	1.319103
0.170000	34.898017	123.234593	-17.442972	1.344921
0.180000	35.674280	124.287880	-17.323656	1.364883
0.190000	36.314807	125.341167	-17.201012	1.378790
0.200000	36.836145	126.394454	-17.075298	1.387041
0.210000	37.243527	127.447741	-16.946610	1.389437
0.220000	37.542676	128.501028	-16.814939	1.386309
0.230000	37.745443	129.554315	-16.680289	1.377792
0.240000	37.899023	130.607602	-16.602904	1.461833
0.250000	37.945079	131.660890	-16.478255	1.460436
0.260000	37.925910	132.714177	-16.267427	1.278314
0.270000	37.855728	133.767464	-16.121553	1.246174
0.280000	37.743018	134.820751	-15.972153	1.209976
0.290000	37.589904	135.874038	-15.819290	1.169985
0.300000	37.401842	136.927325	-15.662914	1.126468
# Energy Storage Capacity at max strain 0.2500 is 6.914 MJ/L or 871.390 Wh/Kg, Thickness 3.43 Å 
# Energy Storage Capacity at max strain 0.2500 is 6.914 MJ/L or 871.390 Wh/Kg, Thickness 3.43 Å 
# Estimated Stiffness (E) is 294.232121 N/m
# Estimated Stiffness constant (E-A) (K) is 3277.273780 N/m
# Estimated Stiffness constant (P-A) (K) is 284.473139 N/m
# Estimated Bp (E-V) (K) is 4.938785 
# Estimated Yield strength using 0.002 offset is 17.357749 N/m
# Estimated Resilience is 0.151817 J/m^3
# Estimated Toughness is 2.341755 J/m^3
# Estimated Ductility(%) is 25.000 %
# Estimated Ductility Index(%) is 316.667 %
# Tensile_x ultimate strength: 37.945079 N/m
