# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	3.881829	106.381999	-18.601112	0.125333
0.015000	5.550114	106.908642	-18.592920	0.192400
0.020000	7.169648	107.435286	-18.582579	0.257733
0.030000	10.279352	108.488573	-18.555556	0.382800
0.040000	13.168026	109.541860	-18.520022	0.499867
0.050000	15.848853	110.595147	-18.475987	0.608533
0.060000	18.316198	111.648434	-18.423476	0.708333
0.070000	20.558338	112.701721	-18.362692	0.798867
0.080000	22.565725	113.755009	-18.293911	0.879867
0.090000	24.320558	114.808296	-18.217822	0.950933
0.100000	25.846306	115.861583	-18.135206	1.012200
0.110000	27.117485	116.914870	-18.046893	1.063800
0.120000	28.161946	117.968157	-17.953445	1.105933
0.130000	29.014299	119.021444	-17.855610	1.139733
0.140000	29.684293	120.074731	-17.753869	1.165400
0.150000	30.198757	121.128018	-17.648744	1.183533
0.160000	30.562786	122.181305	-17.540840	1.194933
0.170000	30.781664	123.234593	-17.430866	1.200067
0.180000	30.850069	124.287880	-17.319507	1.199000
0.190000	30.755805	125.341167	-17.207717	1.192000
0.200000	30.475711	126.394454	-17.096472	1.179000
0.210000	30.053021	127.447741	-17.038169	1.038000
0.220000	29.326219	128.501028	-16.942852	0.991200
0.230000	28.317196	129.554315	-16.877077	1.109400
# Energy Storage Capacity at max strain 0.1800 is 4.047 MJ/L or 509.125 Wh/Kg, Thickness 3.43 Å 
# Energy Storage Capacity at max strain 0.1800 is 4.047 MJ/L or 509.125 Wh/Kg, Thickness 3.43 Å 
# Estimated Stiffness (E) is 299.635463 N/m
# Estimated Stiffness constant (E-A) (K) is 5119.147433 N/m
# Estimated Stiffness constant (P-A) (K) is 294.862718 N/m
# Estimated Bp (E-V) (K) is 10.195798 
# Estimated Yield strength using 0.002 offset is 20.558338 N/m
# Estimated Resilience is 0.209779 J/m^3
# Estimated Toughness is 1.464563 J/m^3
# Estimated Ductility(%) is 18.000 %
# Estimated Ductility Index(%) is 157.143 %
# Tensile_y ultimate strength: 30.850069 N/m
