# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	3.152136	106.031664	-18.604716	0.077133
0.015000	4.777172	106.360910	-18.563899	0.106933
0.020000	6.332320	106.674869	-18.526141	0.140133
0.030000	9.292988	107.255517	-18.390153	0.184133
0.040000	12.009584	107.770800	-18.196609	0.207000
0.050000	14.459671	108.217911	-17.720105	0.219267
0.060000	16.598912	108.594040	-17.269589	0.192267
0.070000	18.376350	108.896380	-16.751549	0.213267
0.080000	19.720600	109.122121	-16.858288	0.048267
0.090000	20.522659	109.268456	-16.388971	-0.067467
0.100000	20.666060	109.332576	-15.871803	-0.219600
0.110000	8.193617	109.311673	-15.227503	-0.353400
# Energy Storage Capacity at max strain 0.1000 is 1.506 MJ/L or 196.641 Wh/Kg, Thickness 3.43 Å 
# Energy Storage Capacity at max strain 0.1000 is 1.506 MJ/L or 196.641 Wh/Kg, Thickness 3.43 Å 
# Estimated Stiffness (E) is 283.221434 N/m
# Estimated Stiffness constant (E-A) (K) is 75769.393146 N/m
# Estimated Stiffness constant (P-A) (K) is 567.797224 N/m
# Estimated Bp (E-V) (K) is 0.000000 
# Estimated Yield strength using 0.002 offset is 16.598912 N/m
# Estimated Resilience is 0.145180 J/m^3
# Estimated Toughness is 0.376792 J/m^3
# Estimated Ductility(%) is 10.000 %
# Estimated Ductility Index(%) is 66.667 %
# indent_strength ultimate strength: 20.666060 N/m
