#SurfaceTension (N/m)	Enthalpy(eV)	Strain	Stress(N/m)
-0.0007793822983356352	-18.606139026666664	0.01	2.4056417490000004
-0.0017793613011413533	-18.607300785	0.015	4.019888977
-0.007362378103422107	-18.62206616666667	0.02	5.661708343000001
-0.013418560603571028	-18.591050898333332	0.03	9.020378474000001
-0.018333732596398592	-18.538510128333336	0.04	12.461541641
-0.024663800848049932	-18.457166388333334	0.05	16.018498998000002
-0.030594987040932938	-18.343302598333334	0.06	19.685589313999998
-0.03679373275837421	-18.198794836666664	0.07	23.443314466000004
-0.042614957164422304	-18.019061349999998	0.08	27.310914420000003
-0.048887166548277794	-17.813626273333334	0.09000000000000001	31.239315275000003
-0.055852825662524974	-17.573855505	0.1	35.199333133
-0.06265224362182523	-17.297828548333335	0.11	39.226579716
-0.06975901557326993	-16.98718354833333	0.12000000000000001	43.37791347
-0.0773264789410704	-16.640346740000002	0.13	47.700490129
-0.08537063411082269	-16.25493129166667	0.13999999999999999	52.207670761
-0.07615226159698127	-15.734964909999999	0.15	56.878682166000004
-0.06279076963665976	-15.33391393	0.16	49.82496707200001
