#SurfaceTension (N/m)	Enthalpy(eV)	Strain	Stress(N/m)
-0.0015554169814339914	-18.609303010000005	0.01	3.881828506
-0.001759516443064537	-18.602186383333333	0.015	5.550114134
-0.003547403434744675	-18.60126091833333	0.02	7.169648462000001
-0.005939148567565798	-18.586833803333334	0.03	10.279351936000001
-0.007554277662667267	-18.559806576666666	0.04	13.168026194000001
-0.009166214845564848	-18.524260706666666	0.05	15.848853082
-0.010756365945968982	-18.480123608333333	0.06	18.316197768000002
-0.012301008720483661	-18.42747448	0.07	20.558337796000004
-0.013754039563936386	-18.366345723333335	0.08	22.565725436
-0.01506759719909525	-18.297175013333334	0.09000000000000001	24.320557604
-0.016228211098202626	-18.22067072833333	0.1	25.846305532000002
-0.017256510963900525	-18.13777313	0.11	27.117484826
-0.01816052088243925	-18.049086506666665	0.12000000000000001	28.161945932
-0.018947988029185917	-17.95539875833333	0.13	29.014299008000002
-0.019640051306339237	-17.857301641666666	0.13999999999999999	29.684293458000003
-0.020225118433110235	-17.75525855333333	0.15	30.198756956
-0.020685592751332683	-17.649779351666666	0.16	30.562786314
-0.0210135660026224	-17.541532178333334	0.16999999999999998	30.781664410000005
-0.021185944135702635	-17.431081236666664	0.18	30.850068788
-0.02117510157135403	-17.319234074999997	0.19	30.755804544
-0.016097032874122758	-17.18124619666667	0.19999999999999998	30.47571066
-0.014584830763517718	-17.114978864999998	0.21	30.053020852
-0.018098906786582845	-17.03816879333333	0.22	29.326218878
