#SurfaceTension (N/m)	Enthalpy(eV)	Strain	Stress(N/m)
-0.007468145399272191	-18.64553425	0.01	3.1521359345000004
-0.007188245129982526	-18.603186658333335	0.015	4.777171638
-0.015894565097504913	-18.613013641666665	0.02	6.332319874
-0.030146036687057304	-18.554918238333332	0.03	9.292987616000001
-0.06129701728484173	-18.531633171666666	0.04	12.009584269500003
-0.08480521880057722	-18.183614620000004	0.05	14.459671280999999
-0.08860493956700305	-17.753866871666666	0.06	16.5989120735
-0.037626486658186346	-16.957199896666665	0.07	18.376349858500003
-0.0331692344059273	-17.03957696833333	0.08	19.720600334500002
-0.09024518494972508	-16.882213343333333	0.09000000000000001	20.522659267500003
-0.0946226863412308	-16.388970736666668	0.1	20.666060426
