#Area  (Å²)	Stiffness_Const (N/m)	Bp	Stress (N/m)
5.2258	609.0229	-1.6108	4.0199
5.2117	606.3783	-1.9404	5.6617
5.1827	597.5969	-2.3749	9.0204
5.1527	590.2694	-1.7449	12.4615
5.1216	585.4766	-1.5899	16.0185
5.0895	578.7298	-1.8182	19.6856
5.0563	571.9807	-2.0135	23.4433
5.0221	563.3275	-2.8857	27.3109
4.9868	549.4040	-3.4174	31.2393
4.9504	536.3777	-2.4649	35.1993
4.9131	529.8282	-0.8209	39.2266
4.8746	529.8670	0.3848	43.3779
4.8351	533.2202	0.6502	47.7005
4.7946	535.5608	-68.4362	52.2077
4.7530	-117.9051	-597.8487	56.8787
4.7103	-778.8695	93.7044	49.8250
