#Area  (Å²)	Stiffness_Const (N/m)	Bp	Stress (N/m)
5.3556	-321.4112	1.9660	4.7161
5.3819	-318.2985	3.0695	6.2994
5.4347	-302.6100	5.3283	9.3279
5.4875	-287.0417	5.5356	12.1753
5.5402	-272.0762	5.7559	14.8480
5.5930	-257.2617	6.1670	17.3577
5.6458	-242.2265	6.6250	19.7019
5.6985	-227.3321	7.0538	21.8853
5.7513	-212.6012	7.5694	23.9118
5.8040	-197.8921	8.1064	25.7863
5.8568	-183.5094	8.7433	27.5098
5.9096	-169.0901	9.6962	29.0928
5.9623	-154.3960	10.7623	30.5293
6.0151	-139.8227	11.6541	31.8254
6.0679	-125.9163	13.2428	32.9823
6.1206	-111.1097	15.1926	34.0153
6.1734	-97.0512	16.6786	34.8980
6.2262	-83.5906	20.2082	35.6743
6.2789	-69.1310	24.3075	36.3148
6.3317	-55.7232	29.1643	36.8361
6.3844	-42.7451	36.8650	37.2435
6.4372	-30.6169	41.9558	37.5427
6.4900	-21.9154	53.8334	37.7454
6.5427	-12.3774	193.0053	37.8990
6.5955	-1.6804	-818.7751	37.9451
6.6483	5.6291	-317.8124	37.9259
6.7010	11.6137	-70.9311	37.8557
6.7538	17.0127	-35.1763	37.7430
6.8066	19.7517	-17.8885	37.5899
