#Area  (Å²)	Stiffness_Const (N/m)	Bp	Stress (N/m)
5.3454	-328.7655	1.7159	5.5501
5.3718	-325.9866	3.0081	7.1696
5.4244	-308.9165	6.1077	10.2794
5.4771	-289.6141	6.9571	13.1680
5.5298	-270.2790	7.8204	15.8489
5.5824	-249.6027	9.1894	18.3162
5.6351	-227.3497	11.0464	20.5583
5.6878	-203.1599	13.0300	22.5657
5.7404	-178.7916	15.2093	24.3206
5.7931	-153.8310	18.2980	25.8463
5.8457	-128.5180	20.7004	27.1175
5.8984	-106.2216	22.6481	28.1619
5.9511	-86.0126	25.8934	29.0143
6.0037	-67.5141	30.6847	29.6843
6.0564	-50.5133	40.5666	30.1988
6.1091	-33.8086	65.7429	30.5628
6.1617	-16.8060	222.6765	30.7817
6.2144	1.5257	1559.1152	30.8501
6.2671	22.2743	-182.5698	30.7558
6.3197	42.1670	-68.5297	30.4757
6.3724	69.5443	-50.6287	30.0530
6.4251	88.6698	-26.3147	29.3262
