#Area  (Å²)	Stiffness_Const (N/m)	Bp	Stress (N/m)
5.2664	-inf	nan	1.5158
5.2664	-inf	nan	2.2792
5.2664	-inf	nan	3.8091
5.2664	-inf	nan	5.3371
5.2664	-inf	nan	6.8612
5.2664	-inf	nan	8.3915
5.2664	-inf	nan	9.9381
5.2664	-inf	nan	11.4920
5.2664	-inf	nan	13.0487
5.2664	-inf	nan	14.6064
5.2664	-inf	nan	16.1610
5.2664	-inf	nan	17.7218
5.2664	-inf	nan	19.2861
5.2664	-inf	nan	20.8526
5.2664	-inf	nan	22.4214
5.2664	-inf	nan	23.9896
5.2664	-inf	nan	25.5608
5.2664	-inf	nan	27.1325
5.2664	-inf	nan	28.7048
5.2664	-inf	nan	30.2750
5.2664	-inf	nan	31.8468
5.2664	-inf	nan	33.4140
5.2664	-inf	nan	34.9722
5.2664	-inf	nan	36.5240
5.2664	-inf	nan	38.0650
5.2664	-inf	nan	39.5871
5.2664	-inf	nan	41.0960
5.2664	-inf	nan	42.5854
5.2664	-inf	nan	44.0528
5.2664	-inf	nan	45.4966
5.2664	-inf	nan	46.9156
5.2664	-inf	nan	48.3090
5.2664	-inf	nan	49.6772
5.2664	-inf	nan	51.0190
5.2664	-inf	nan	52.3334
5.2664	-inf	nan	53.6253
5.2664	-inf	nan	54.8805
5.2664	-inf	nan	56.1024
5.2664	-inf	nan	57.2793
5.2664	-inf	nan	58.3973
5.2664	-inf	nan	59.4121
5.2664	-inf	nan	60.2498
5.2664	-inf	-inf	60.7245
5.2664	inf	-inf	60.3346
