# Strain	Stress (N/m)	Mean Volume (A^3)	Mean Energy(eV)	Mean Temperature (K)	Mean Pressure (N/m)
0.0	0.0	0.0	0.0	0.0	0.0
0.000000	0.000000	0.000000	0.000000	308.805333	0.000000
0.010000	0.243641	425.527995	-74.184567	265.986667	-0.017454
0.015000	2.170478	427.634569	-74.256563	271.453333	0.045422
0.020000	3.620897	429.741143	-74.081630	282.288000	0.106681
0.030000	6.898814	433.954292	-74.121949	316.765000	0.228525
0.040000	9.791518	438.167440	-73.982501	282.432333	0.367082
0.050000	12.615648	442.380589	-73.740719	284.976000	0.451456
0.060000	15.218616	446.593737	-73.548482	310.111333	0.556520
0.070000	17.694794	450.806886	-73.344517	301.569667	0.643657
0.080000	20.022176	455.020034	-73.310246	274.116333	0.762334
0.090000	22.010987	459.233183	-72.954554	310.910333	0.854593
0.100000	24.196010	463.446331	-72.654105	299.449667	0.917200
0.110000	25.901703	467.659480	-72.288556	308.691000	0.960802
0.120000	27.522991	471.872628	-71.882270	300.301333	0.948267
0.130000	29.293852	476.085776	-71.562134	274.633667	1.140535
0.140000	30.403302	480.298925	-71.014260	307.308000	1.159675
0.150000	31.491562	484.512073	-70.683016	298.273333	1.194449
0.160000	32.634913	488.725222	-70.317467	300.893667	1.258740
0.170000	33.721792	492.938370	-69.836839	309.175000	1.222483
0.180000	34.557251	497.151519	-69.574250	307.139667	1.366365
0.190000	35.395575	501.364667	-68.956198	299.912333	1.297625
0.200000	36.236178	505.577816	-68.548928	313.354667	1.289875
0.210000	36.681305	509.790964	-67.977836	301.677667	1.401139
0.220000	37.117891	514.004113	-67.601631	283.104000	1.421087
0.230000	37.031142	518.217261	-67.026522	286.016000	1.401206
0.240000	37.625613	522.430410	-66.504718	321.365333	1.441978
0.250000	37.208945	526.643558	-66.015006	266.702000	1.368993
0.260000	37.545570	530.856706	-65.497669	314.782000	1.503641
0.270000	37.320159	535.069855	-64.930683	317.109667	1.417245
0.280000	37.592119	539.283003	-64.457134	302.783333	1.491174
0.290000	37.018106	543.496152	-64.083953	287.057333	1.452491
0.300000	36.865263	547.709300	-63.451776	274.335333	1.246340
0.310000	36.937295	551.922449	-63.165555	0.000000	1.287853
# Energy Storage Capacity at max strain 0.2400 is 6.582 MJ/L or 827.925 Wh/Kg, Thickness 3.43 Å 
# Estimated Young modulus (E) is 274.685241 N/m
# Estimated Stiffness constant (E-A) (K) is 3985.901960 N/m
# Estimated Stiffness constant (P-A) (K) is 315.770587 N/m
# Estimated Bp (E-A) (K) is 7.157661 
# Estimated Bp (P-A) (K) is 7.270298 
# Estimated Yield strength using 0.002 offset is 0.000000 N/m
# Estimated Shear modulus (G) is 101.358479 N/m
# Estimated First Lamé parameter (lambda) is 248.198268 N/m
# Estimated Second Lamé parameter (mu) is 101.358479 N/m
# Estimated Resilience is 0.000000 J/m^3
# Estimated Toughness is 2.449172 J/m^3
# Estimated Ductility(%) is 24.000 %
# Estimated Ductility Index(%) is inf %
# Estimated Poisson's ratio (v) is 0.355019 
# Estimated Grüneisen parameter (gamma) is 2.173956
# Estimated Longitudinal sound velocity (V_l) is 23.469048 km/s
# Estimated Shear sound velocity (V_s) is 11.568852 km/s
# Estimated Mean sound velocity (V_m) is 14.674771 km/s
# Estimated Pwave velocity (V_p) is 24.401004 km/s
# Estimated Debye temperature (T_D) is 2448.087697 K
# Estimated Min thermal Conductivity (Slack) is 4.640231 W/mK
# Estimated Min thermal  Conductivity (Clarke) is 4.343738 W/mK
# Estimated Min thermal  Conductivity (Cahill) is 12.559437 W/mK
# Estimated Integrated min thermal  Conductivity (Slack) is 1.606160 W/mK
# Tensile_x ultimate strength: 37.625613 N/m
