# Strain	Stress (N/m)	Mean Volume (A^3)	Mean Energy(eV)	Mean Temperature (K)	Mean Pressure (N/m)
0.0	0.0	0.0	0.0	0.0	0.0 
0.010000	0.243641	425.527995	-74.184567	308.805333	-0.017454
0.015000	2.170478	427.634569	-74.256563	265.986667	0.045422
0.020000	3.620897	429.741143	-74.081630	271.453333	0.106681
0.030000	6.898814	433.954292	-74.121949	282.288000	0.228525
0.040000	9.791518	438.167440	-73.982501	316.765000	0.367082
0.050000	12.615648	442.380589	-73.740719	282.432333	0.451456
0.060000	15.218616	446.593737	-73.548482	284.976000	0.556520
0.070000	17.694794	450.806886	-73.344517	310.111333	0.643657
0.080000	20.022176	455.020034	-73.310246	301.569667	0.762334
0.090000	22.010987	459.233183	-72.954554	274.116333	0.854593
0.100000	24.196010	463.446331	-72.654105	310.910333	0.917200
0.110000	25.901703	467.659480	-72.288556	299.449667	0.960802
0.120000	27.522991	471.872628	-71.882270	308.691000	0.948267
0.130000	29.293852	476.085776	-71.562134	300.301333	1.140535
0.140000	30.403302	480.298925	-71.014260	274.633667	1.159675
0.150000	31.491562	484.512073	-70.683016	307.308000	1.194449
0.160000	32.634913	488.725222	-70.317467	298.273333	1.258740
0.170000	33.721792	492.938370	-69.836839	300.893667	1.222483
0.180000	34.557251	497.151519	-69.574250	309.175000	1.366365
0.190000	35.395575	501.364667	-68.956198	307.139667	1.297625
0.200000	36.236178	505.577816	-68.548928	299.912333	1.289875
0.210000	36.681305	509.790964	-67.977836	313.354667	1.401139
0.220000	37.117891	514.004113	-67.601631	301.677667	1.421087
0.230000	37.031142	518.217261	-67.026522	283.104000	1.401206
0.240000	37.625613	522.430410	-66.504718	286.016000	1.441978
0.250000	37.208945	526.643558	-66.015006	321.365333	1.368993
0.260000	37.545570	530.856706	-65.497669	266.702000	1.503641
0.270000	37.320159	535.069855	-64.930683	314.782000	1.417245
0.280000	37.592119	539.283003	-64.457134	317.109667	1.491174
0.290000	37.018106	543.496152	-64.083953	302.783333	1.452491
0.300000	36.865263	547.709300	-63.451776	287.057333	1.246340
0.310000	36.937295	551.922449	-63.165555	274.335333	1.287853
0.320000	24.851025	556.135597	-66.705207	153.346000	1.723877
# Energy Storage Capacity at max strain 0.24 is 1.645 MJ/L or 204.755 Wh/Kg, Thickness 3.43 Ang 
# Estimated yield strength: 0.154140 N/m # Tensile_x ultimate strength: 37.625613 N/m
