#Surface Tension (N/m)	Enthalpy(eV)	Strain	Stress
14.073088689483297	74.115015	0.0	0.0
7.033424492661574	-37.073938	0.01	2.353151
-0.00781543785580797	-74.1233135	0.015	3.862637
-0.018733068789017548	-74.1313525	0.02	5.368386
-0.04885467524923423	-74.14213099999999	0.03	8.553461
-0.06036008513706189	-73.8359985	0.04	11.562482
-0.06523245082129295	-73.59261850000001	0.05	14.606892
-0.09029997476330599	-73.30659	0.06	17.849293
-0.09756608471870433	-72.81178349999999	0.07	20.534085
-0.10856280140045042	-72.375119	0.08	23.59056
-0.14689821762628022	-71.92811	0.09	26.860182
-0.15049866041355597	-71.0487115	0.1	29.549437
-0.14382137376239498	-70.326723	0.11	31.781009
-0.1572275949004959	-69.569297	0.12	33.283354
