#Area  (Å²)	Stiffness_Const (N/m)	Bp	Stress (N/m)
21.2764	-389.2212	24.0963	0.2436
21.3817	-342.7915	23.7563	2.1705
21.4871	-308.7062	15.4418	3.6209
21.6977	-317.7870	2.4681	6.8988
21.9084	-297.2754	5.7161	9.7915
22.1190	-284.9227	5.2421	12.6156
22.3297	-269.1947	5.4716	15.2186
22.5403	-256.9904	7.6851	17.6948
22.7510	-233.0744	6.2534	20.0222
22.9617	-227.4740	4.4148	22.0110
23.1723	-213.9894	12.3664	24.1960
23.3830	-184.6474	6.7029	25.9017
23.5936	-189.9603	5.6367	27.5230
23.8043	-162.7376	26.6847	29.2939
24.0149	-125.2695	15.3091	30.4033
24.2256	-128.3177	-1.8768	31.4916
24.4363	-129.3533	7.5284	32.6349
24.6469	-112.4568	16.0302	33.7218
24.8576	-98.7532	7.5347	34.5573
25.0682	-99.8962	12.8324	35.3956
25.2789	-77.1438	44.3279	36.2362
25.4895	-53.3436	63.4823	36.6813
25.7002	-21.3401	124.0269	37.1179
25.9109	-31.2249	127.6114	37.0311
26.1215	-11.0238	-208.2338	37.6256
26.3322	5.0027	-23.9501	37.2089
26.5428	-7.0065	17.9161	37.5456
26.7535	-2.9559	-501.8245	37.3202
26.9642	19.3313	198.9515	37.5921
27.1748	46.8822	205.0015	37.0181
27.3855	5.2527	-628.4653	36.8653
27.5961	-9.4361	-203.9230	36.9373
