#T(K), Kl_SlackLow(W/mK), Kl_SlackSim(W/mK), Kl_CahillLow(W/mK), Cv(J/molK), S(J/molK), S_Debye(J/molK), H(eV), mpf(µm)
10.0000 0.0001 139.2069 0.0003 0.0060 0.0030 0.0000 -0.0000 70835.1787
20.0000 0.0005 69.6035 0.0014 0.0238 0.0119 0.0000 -0.0000 141496.9360
30.0000 0.0018 46.4023 0.0031 0.0536 0.0268 0.0001 -0.0000 212245.3852
40.0000 0.0042 34.8017 0.0054 0.0952 0.0476 0.0003 -0.0000 282993.8493
50.0000 0.0081 27.8414 0.0085 0.1488 0.0744 0.0007 -0.0001 353742.5437
60.0000 0.0140 23.2012 0.0123 0.2143 0.1071 0.0012 -0.0001 424490.7705
70.0000 0.0223 19.8867 0.0167 0.2917 0.1458 0.0019 -0.0002 495239.2329
80.0000 0.0332 17.4009 0.0218 0.3810 0.1905 0.0028 -0.0003 565987.6974
90.0000 0.0473 15.4674 0.0276 0.4822 0.2411 0.0040 -0.0004 636736.1379
100.0000 0.0649 13.9207 0.0340 0.5953 0.2976 0.0055 -0.0006 707484.3540
110.0000 0.0864 12.6552 0.0412 0.7203 0.3601 0.0073 -0.0008 778231.1713
120.0000 0.1122 11.6006 0.0490 0.8572 0.4286 0.0094 -0.0011 848971.9524
130.0000 0.1427 10.7082 0.0575 1.0060 0.5030 0.0120 -0.0014 919693.1009
140.0000 0.1782 9.9434 0.0667 1.1667 0.5834 0.0150 -0.0017 990362.9719
150.0000 0.2191 9.2805 0.0766 1.3394 0.6697 0.0184 -0.0021 1060920.1420
160.0000 0.2658 8.7004 0.0871 1.5239 0.7620 0.0223 -0.0025 1131261.4462
170.0000 0.3186 8.1886 0.0984 1.7204 0.8602 0.0268 -0.0030 1201232.7206
180.0000 0.3779 7.7337 0.1103 1.9287 0.9643 0.0318 -0.0036 1270624.6048
190.0000 0.4437 7.3267 0.1229 2.1489 1.0745 0.0374 -0.0042 1339174.4882
200.0000 0.5164 6.9603 0.1361 2.3811 1.1906 0.0437 -0.0049 1406574.3079
210.0000 0.5960 6.6289 0.1501 2.6252 1.3126 0.0506 -0.0057 1472482.8720
220.0000 0.6826 6.3276 0.1647 2.8811 1.4406 0.0582 -0.0066 1536540.8621
230.0000 0.7761 6.0525 0.1799 3.1490 1.5745 0.0666 -0.0075 1598386.6200
240.0000 0.8764 5.8003 0.1958 3.4288 1.7144 0.0758 -0.0085 1657671.1114
250.0000 0.9833 5.5683 0.2123 3.7152 1.8602 0.0859 -0.0096 1716506.4460
260.0000 1.0966 5.3541 0.2295 4.0057 2.0115 0.0968 -0.0108 1775421.0754
270.0000 1.2159 5.1558 0.2473 4.3035 2.1683 0.1087 -0.0121 1832346.1023
280.0000 1.3408 4.9717 0.2657 4.6079 2.3303 0.1215 -0.0135 1887206.7628
290.0000 1.4711 4.8002 0.2846 4.9180 2.4974 0.1354 -0.0150 1939955.8550
300.0000 1.6062 4.6402 0.3041 5.2330 2.6694 0.1504 -0.0166 1990571.3519
310.0000 1.7456 4.4905 0.3242 5.5521 2.8462 0.1665 -0.0183 2039053.4601
320.0000 1.8889 4.3502 0.3448 5.8745 3.0275 0.1838 -0.0201 2085421.4336
330.0000 2.0357 4.2184 0.3659 6.1992 3.2132 0.2023 -0.0220 2129710.3728
340.0000 2.1854 4.0943 0.3874 6.5256 3.4032 0.2221 -0.0240 2171968.1709
350.0000 2.3376 3.9773 0.4095 6.8530 3.5970 0.2432 -0.0261 2212252.7102
360.0000 2.4918 3.8669 0.4320 7.1805 3.7947 0.2655 -0.0283 2250629.3642
370.0000 2.6476 3.7623 0.4548 7.5075 3.9959 0.2893 -0.0306 2287168.8267
380.0000 2.8046 3.6633 0.4781 7.8335 4.2004 0.3144 -0.0331 2321945.2664
390.0000 2.9623 3.5694 0.5018 8.1578 4.4081 0.3409 -0.0356 2355034.7877
400.0000 3.1204 3.4802 0.5258 8.4799 4.6187 0.3689 -0.0383 2386514.1719
410.0000 3.2786 3.3953 0.5502 8.7993 4.8320 0.3983 -0.0410 2416459.8663
420.0000 3.4365 3.3145 0.5749 9.1157 5.0479 0.4292 -0.0439 2444947.1899
430.0000 3.5938 3.2374 0.5998 9.4285 5.2660 0.4616 -0.0469 2472049.7227
440.0000 3.7503 3.1638 0.6251 9.7375 5.4863 0.4955 -0.0500 2497838.8496
450.0000 3.9058 3.0935 0.6506 10.0424 5.7086 0.5308 -0.0532 2522383.4334
460.0000 4.0599 3.0262 0.6764 10.3429 5.9326 0.5677 -0.0565 2545749.5921
470.0000 4.2125 2.9618 0.7023 10.6387 6.1582 0.6061 -0.0600 2568000.5618
480.0000 4.3635 2.9001 0.7285 10.9297 6.3853 0.6459 -0.0635 2589196.6265
490.0000 4.5126 2.8410 0.7549 11.2158 6.6136 0.6873 -0.0671 2609395.1014
500.0000 4.6598 2.7841 0.7815 11.4967 6.8430 0.7301 -0.0709 2628650.3582
510.0000 4.8049 2.7295 0.8082 11.7725 7.0734 0.7744 -0.0747 2647013.8804
520.0000 4.9478 2.6771 0.8351 12.0429 7.3046 0.8202 -0.0787 2664534.3432
530.0000 5.0884 2.6265 0.8621 12.3080 7.5366 0.8674 -0.0828 2681257.7090
540.0000 5.2267 2.5779 0.8893 12.5677 7.7690 0.9161 -0.0869 2697227.3354
550.0000 5.3627 2.5310 0.9166 12.8220 8.0020 0.9662 -0.0912 2712484.0894
560.0000 5.4962 2.4858 0.9440 13.0709 8.2353 1.0177 -0.0956 2727066.4665
570.0000 5.6272 2.4422 0.9714 13.3144 8.4688 1.0706 -0.1000 2741010.7109
580.0000 5.7557 2.4001 0.9990 13.5526 8.7024 1.1249 -0.1046 2754350.9352
590.0000 5.8817 2.3594 1.0267 13.7854 8.9361 1.1805 -0.1092 2767119.2381
600.0000 6.0053 2.3201 1.0544 14.0130 9.1697 1.2374 -0.1140 2779345.8190
610.0000 6.1263 2.2821 1.0822 14.2354 9.4031 1.2957 -0.1189 2791059.0888
620.0000 6.2448 2.2453 1.1101 14.4526 9.6364 1.3552 -0.1238 2802285.7761
630.0000 6.3608 2.2096 1.1380 14.6647 9.8693 1.4160 -0.1288 2813051.0293
640.0000 6.4743 2.1751 1.1660 14.8719 10.1019 1.4781 -0.1340 2823378.5123
