#T(K), Kl_SlackLow(W/mK), Kl_SlackSim(W/mK), Kl_CahillLow(W/mK), Cv(J/molK), S(J/molK), S_Debye(J/molK), H(eV), mpf(µm)
10.0000 0.0001 134.0172 0.0003 0.0061 0.0030 0.0000 -0.0000 71544.5338
20.0000 0.0005 67.0086 0.0014 0.0243 0.0121 0.0000 -0.0000 142920.0484
30.0000 0.0018 44.6724 0.0031 0.0547 0.0273 0.0002 -0.0000 214379.9464
40.0000 0.0042 33.5043 0.0055 0.0972 0.0486 0.0004 -0.0000 285839.9319
50.0000 0.0083 26.8034 0.0086 0.1518 0.0759 0.0007 -0.0001 357300.1188
60.0000 0.0143 22.3362 0.0124 0.2186 0.1093 0.0012 -0.0001 428759.8928
70.0000 0.0227 19.1453 0.0168 0.2976 0.1488 0.0019 -0.0002 500219.8777
80.0000 0.0339 16.7521 0.0220 0.3887 0.1943 0.0029 -0.0003 571679.8622
90.0000 0.0483 14.8908 0.0279 0.4919 0.2460 0.0041 -0.0005 643139.8170
100.0000 0.0663 13.4017 0.0344 0.6073 0.3037 0.0056 -0.0006 714599.4953
110.0000 0.0882 12.1834 0.0416 0.7348 0.3674 0.0075 -0.0008 786057.4892
120.0000 0.1145 11.1681 0.0495 0.8745 0.4373 0.0097 -0.0011 857508.3616
130.0000 0.1455 10.3090 0.0581 1.0264 0.5132 0.0123 -0.0014 928936.4720
140.0000 0.1818 9.5727 0.0674 1.1903 0.5952 0.0154 -0.0017 1000306.0197
150.0000 0.2235 8.9345 0.0774 1.3664 0.6832 0.0190 -0.0021 1071548.5299
160.0000 0.2712 8.3761 0.0880 1.5547 0.7774 0.0230 -0.0026 1142550.4987
170.0000 0.3250 7.8834 0.0994 1.7551 0.8776 0.0276 -0.0031 1213144.3182
180.0000 0.3854 7.4454 0.1114 1.9677 0.9838 0.0328 -0.0037 1283104.8383
190.0000 0.4525 7.0535 0.1241 2.1924 1.0962 0.0386 -0.0043 1352152.4874
200.0000 0.5266 6.7009 0.1375 2.4292 1.2146 0.0450 -0.0050 1419962.4254
210.0000 0.6076 6.3818 0.1516 2.6782 1.3391 0.0521 -0.0058 1486178.1690
220.0000 0.6957 6.0917 0.1663 2.9394 1.4697 0.0600 -0.0067 1550427.6683
230.0000 0.7907 5.8268 0.1817 3.2127 1.6063 0.0687 -0.0077 1612339.8436
240.0000 0.8926 5.5840 0.1978 3.4981 1.7491 0.0782 -0.0087 1671559.9448
250.0000 1.0011 5.3607 0.2144 3.7875 1.8977 0.0885 -0.0098 1731501.1710
260.0000 1.1160 5.1545 0.2318 4.0829 2.0520 0.0998 -0.0110 1790501.6612
270.0000 1.2368 4.9636 0.2497 4.3855 2.2117 0.1121 -0.0124 1847449.6146
280.0000 1.3633 4.7863 0.2682 4.6947 2.3768 0.1253 -0.0138 1902275.7472
290.0000 1.4950 4.6213 0.2874 5.0094 2.5470 0.1397 -0.0153 1954938.8638
300.0000 1.6314 4.4672 0.3070 5.3289 2.7222 0.1552 -0.0169 2005423.1512
310.0000 1.7721 4.3231 0.3273 5.6523 2.9022 0.1718 -0.0186 2053734.9842
320.0000 1.9166 4.1880 0.3480 5.9787 3.0868 0.1897 -0.0205 2099899.5507
330.0000 2.0643 4.0611 0.3693 6.3074 3.2758 0.2088 -0.0224 2143957.5189
340.0000 2.2149 3.9417 0.3910 6.6375 3.4690 0.2292 -0.0244 2185961.9024
350.0000 2.3679 3.8291 0.4132 6.9683 3.6662 0.2509 -0.0266 2225975.2130
360.0000 2.5227 3.7227 0.4358 7.2990 3.8671 0.2740 -0.0288 2264066.9496
370.0000 2.6790 3.6221 0.4589 7.6290 4.0716 0.2985 -0.0312 2300311.4355
380.0000 2.8362 3.5268 0.4823 7.9576 4.2794 0.3244 -0.0337 2334785.9967
390.0000 2.9942 3.4363 0.5061 8.2844 4.4904 0.3517 -0.0363 2367569.4548
400.0000 3.1524 3.3504 0.5303 8.6087 4.7042 0.3806 -0.0390 2398740.9058
410.0000 3.3105 3.2687 0.5548 8.9302 4.9207 0.4109 -0.0418 2428378.7502
420.0000 3.4682 3.1909 0.5796 9.2483 5.1398 0.4427 -0.0447 2456559.9370
430.0000 3.6252 3.1167 0.6047 9.5626 5.3611 0.4761 -0.0478 2483359.3924
440.0000 3.7812 3.0458 0.6300 9.8730 5.5845 0.5109 -0.0509 2508849.5998
450.0000 3.9361 2.9782 0.6556 10.1789 5.8098 0.5473 -0.0542 2533100.3054
460.0000 4.0896 2.9134 0.6815 10.4803 6.0368 0.5853 -0.0575 2556178.3259
470.0000 4.2414 2.8514 0.7076 10.7769 6.2654 0.6247 -0.0610 2578147.4374
480.0000 4.3915 2.7920 0.7339 11.0685 6.4953 0.6657 -0.0646 2599068.3299
490.0000 4.5397 2.7350 0.7603 11.3549 6.7265 0.7082 -0.0683 2618998.6111
500.0000 4.6859 2.6803 0.7870 11.6360 6.9588 0.7522 -0.0721 2637992.8493
510.0000 4.8299 2.6278 0.8138 11.9118 7.1919 0.7977 -0.0760 2656102.6451
520.0000 4.9716 2.5773 0.8408 12.1822 7.4258 0.8447 -0.0800 2673376.7244
530.0000 5.1110 2.5286 0.8679 12.4471 7.6604 0.8932 -0.0841 2689861.0460
540.0000 5.2481 2.4818 0.8951 12.7065 7.8955 0.9431 -0.0883 2705598.9190
550.0000 5.3827 2.4367 0.9224 12.9603 8.1310 0.9945 -0.0927 2720631.1258
560.0000 5.5148 2.3932 0.9499 13.2087 8.3667 1.0473 -0.0971 2734996.0487
570.0000 5.6444 2.3512 0.9774 13.4516 8.6027 1.1015 -0.1016 2748729.7954
580.0000 5.7715 2.3106 1.0050 13.6890 8.8387 1.1571 -0.1062 2761866.3247
590.0000 5.8960 2.2715 1.0328 13.9211 9.0747 1.2141 -0.1109 2774437.5676
600.0000 6.0181 2.2336 1.0605 14.1478 9.3106 1.2724 -0.1158 2786473.5465
610.0000 6.1375 2.1970 1.0884 14.3692 9.5463 1.3321 -0.1207 2798002.4881
620.0000 6.2545 2.1616 1.1163 14.5854 9.7817 1.3930 -0.1257 2809050.9328
630.0000 6.3689 2.1273 1.1442 14.7965 10.0167 1.4552 -0.1308 2819643.8383
640.0000 6.4809 2.0940 1.1722 15.0026 10.2514 1.5187 -0.1359 2829804.6775
650.0000 6.5904 2.0618 1.2002 15.2037 10.4855 1.5834 -0.1412 2839555.5321
660.0000 6.6975 2.0306 1.2283 15.3999 10.7192 1.6493 -0.1466 2848917.1798
670.0000 6.8022 2.0003 1.2564 15.5914 10.9522 1.7164 -0.1521 2857909.1771
680.0000 6.9045 1.9708 1.2845 15.7782 11.1846 1.7846 -0.1576 2866549.9367
690.0000 7.0044 1.9423 1.3126 15.9604 11.4162 1.8540 -0.1632 2874856.8004
700.0000 7.1021 1.9145 1.3408 16.1382 11.6472 1.9244 -0.1689 2882846.1070
710.0000 7.1976 1.8876 1.3690 16.3116 11.8773 1.9960 -0.1747 2890533.2564
720.0000 7.2908 1.8613 1.3971 16.4807 12.1066 2.0686 -0.1806 2897932.7692
730.0000 7.3819 1.8359 1.4253 16.6456 12.3351 2.1422 -0.1866 2905058.3419
740.0000 7.4708 1.8110 1.4535 16.8065 12.5627 2.2169 -0.1926 2911922.9000
750.0000 7.5577 1.7869 1.4817 16.9634 12.7893 2.2925 -0.1988 2918538.6455
760.0000 7.6426 1.7634 1.5099 17.1164 13.0150 2.3691 -0.2050 2924917.1032
770.0000 7.7254 1.7405 1.5381 17.2657 13.2397 2.4467 -0.2113 2931069.1624
780.0000 7.8063 1.7182 1.5662 17.4113 13.4635 2.5251 -0.2176 2937005.1171
790.0000 7.8854 1.6964 1.5944 17.5533 13.6862 2.6045 -0.2241 2942734.7021
800.0000 7.9625 1.6752 1.6226 17.6918 13.9079 2.6847 -0.2306 2948267.1281
810.0000 8.0379 1.6545 1.6507 17.8269 14.1285 2.7658 -0.2372 2953611.1134
820.0000 8.1115 1.6344 1.6789 17.9587 14.3480 2.8477 -0.2438 2958774.9143
830.0000 8.1833 1.6147 1.7070 18.0873 14.5665 2.9304 -0.2505 2963766.3524
