# Strain	Stress (N/m)	Mean Volume (A^3)	Mean Energy(eV)	Mean Temperature (K)	Mean Pressure (N/m)
0.0	0.0	0.0	0.0	0.0	0.0 
0.010000	2.189469	421.314846	-73.695151	589.846333	-0.228188
0.015000	3.768936	421.314846	-73.681131	596.903333	-0.167131
0.020000	5.262927	421.314846	-73.757570	597.618667	-0.163559
0.030000	8.309490	421.314846	-73.360217	576.475667	-0.165716
0.040000	11.279285	421.314846	-73.149590	611.113333	-0.201636
0.050000	14.540471	421.314846	-72.856105	578.425333	-0.246249
0.060000	17.932793	421.314846	-72.715845	611.630667	-0.203253
0.070000	20.485407	421.314846	-72.123526	614.063333	-0.327591
0.080000	23.322833	421.314846	-71.431339	591.396667	-0.251034
0.090000	26.444922	421.314846	-70.826728	574.909333	-0.367149
0.100000	29.072537	421.314846	-70.114979	620.919000	-0.351919
0.110000	30.968043	421.314846	-69.212637	617.724000	-0.338912
0.120000	31.296540	421.314846	-68.346338	559.548000	-0.048185
0.130000	30.357140	421.314846	-67.554628	549.169333	-0.341338
0.140000	27.315521	421.314846	-66.825374	585.214667	0.029248
0.150000	26.835606	421.314846	-66.212681	536.513667	0.026350
0.160000	26.053050	421.314846	-65.492671	541.365000	0.245373
# Energy Storage Capacity at max strain 0.12000000000000001 is 0.684 MJ/L or 85.156 Wh/Kg, Thickness 3.43 Ang 
# Estimated yield strength: 0.714929 N/m # Shear ultimate strength: 31.296540 N/m
