# Strain	Stress (N/m)	Mean Volume (A^3)	Mean Energy(eV)	Mean Temperature (K)	Mean Pressure (N/m)
0.0	0.0	0.0	0.0	0.0	0.0 
0.010000	0.000000	425.527995	-73.998860	559.596000	-0.040772
0.015000	1.824585	427.634569	-73.660315	627.776000	0.021565
0.020000	3.454436	429.741143	-73.773868	551.065667	0.118879
0.030000	6.512257	433.954292	-73.809938	621.708667	0.211003
0.040000	9.473007	438.167440	-73.610546	517.311333	0.323210
0.050000	12.547146	442.380589	-73.449268	557.551000	0.491217
0.060000	15.048320	446.593737	-73.311183	578.862667	0.603694
0.070000	17.213723	450.806886	-72.976503	489.236667	0.601807
0.080000	19.543257	455.020034	-73.054154	568.209667	0.770690
0.090000	21.576383	459.233183	-72.672212	615.109000	0.757414
0.100000	23.587739	463.446331	-72.230830	580.045667	0.949008
0.110000	25.761030	467.659480	-71.693274	634.382333	0.962824
0.120000	27.002596	471.872628	-71.376289	595.905000	0.984524
0.130000	29.006673	476.085776	-71.058937	786.771000	1.038033
0.140000	30.276236	480.298925	-70.712587	645.793333	1.144511
0.150000	31.362051	484.512073	-70.348834	531.995000	1.246071
0.160000	32.623848	488.725222	-69.790503	548.667667	1.210690
0.170000	33.257051	492.938370	-69.569452	551.208333	1.212307
0.180000	34.516244	497.151519	-69.212503	647.150000	1.302343
0.190000	35.108295	501.364667	-68.742645	701.968333	1.374991
0.200000	35.589653	505.577816	-68.249526	569.560000	1.390221
0.210000	35.855674	509.790964	-67.777318	469.055000	1.421423
0.220000	36.195220	514.004113	-67.324599	586.381667	1.440091
0.230000	37.149634	518.217261	-66.888488	692.354000	1.401880
0.240000	36.724785	522.430410	-66.035805	731.808667	1.381595
0.250000	37.073456	526.643558	-65.440938	733.621667	1.488950
0.260000	36.768795	530.856706	-65.059091	635.642333	1.464015
0.270000	36.734633	535.069855	-64.489832	544.245000	1.332938
0.280000	35.534448	539.283003	-64.399519	611.152333	1.391434
0.290000	36.239749	543.496152	-63.761851	676.083667	1.307666
0.300000	35.992408	547.709300	-63.559220	522.131333	1.404508
0.310000	36.047330	551.922449	-62.727068	554.440000	1.319932
0.320000	18.735333	556.135597	-64.508024	989.846667	0.974078
# Energy Storage Capacity at max strain 0.22999999999999998 is 1.557 MJ/L or 193.741 Wh/Kg, Thickness 3.43 Ang 
# Estimated yield strength: 37.149634 N/m # Tensile_x ultimate strength: 37.149634 N/m
