Component: Shear
Strain, Stress, Mean Volume, Mean Energy, Mean External Pressure, Mean Temp 
0.0, 0.0, 0.0, 0.0, 0.0 
0.01, 2.189469111359355, 421.31484643, -73.69515070333334,  -0.2281879328611414, 589.8463333333333
0.015, 3.768936126310422, 421.31484643, -73.68113057666666,  -0.16713114988057612, 596.9033333333333
0.02, 5.262926546733461, 421.31484643, -73.75757048666667,  -0.1635593954678057, 597.6186666666666
0.03, 8.309489970117832, 421.31484643, -73.36021711000001,  -0.1657159264340067, 576.4756666666667
0.04, 11.279284508734667, 421.31484643, -73.14959041333333,  -0.2016356453397918, 611.1133333333333
0.05, 14.540471465855376, 421.31484643, -72.85610473666668,  -0.2462488797030746, 578.4253333333335
0.06, 17.932793259591413, 421.31484643, -72.71584450666667,  -0.20325304356444251, 611.6306666666667
0.07, 20.485407315431825, 421.31484643, -72.12352604,  -0.3275905320844679, 614.0633333333334
0.08, 23.32283312560462, 421.31484643, -71.43133908666667,  -0.251033682784333, 591.3966666666666
0.09000000000000001, 26.44492156063989, 421.31484643, -70.82672764333333,  -0.36714939699571714, 574.9093333333334
0.1, 29.07253658184681, 421.31484643, -70.11497872,  -0.3519188970469228, 620.919
0.11, 30.968042686973607, 421.31484643, -69.21263655,  -0.33891231965702306, 617.724
0.12000000000000001, 31.296539544284112, 421.31484643, -68.34633775666667,  -0.04818498877605319, 559.5480000000001
0.13, 30.35714012453149, 421.31484643, -67.55462848666666,  -0.3413384169939992, 549.1693333333334
0.13999999999999999, 27.31552137057265, 421.31484643, -66.82537411,  0.02924795122910082, 585.2146666666666
0.15, 26.83560586650705, 421.31484643, -66.21268067333334,  0.02635011274326825, 536.5136666666667
0.16, 26.0530500526131, 421.31484643, -65.49267090333333,  0.24537278899805542, 541.365
0.16999999999999998, None, None, None,  None, None
0.18, None, None, None,  None, None
0.19, None, None, None,  None, None
0.19999999999999998, None, None, None,  None, None
0.21, None, None, None,  None, None
0.22, None, None, None,  None, None
0.22999999999999998, None, None, None,  None, None
0.24, None, None, None,  None, None
0.25, None, None, None,  None, None
0.26, None, None, None,  None, None
0.27, None, None, None,  None, None
0.28, None, None, None,  None, None
0.29000000000000004, None, None, None,  None, None
0.30000000000000004, None, None, None,  None, None
0.31, None, None, None,  None, None
0.32, None, None, None,  None, None
0.33, None, None, None,  None, None
0.34, None, None, None,  None, None
0.35000000000000003, None, None, None,  None, None
0.36000000000000004, None, None, None,  None, None
0.37000000000000005, None, None, None,  None, None
0.38, None, None, None,  None, None
0.39, None, None, None,  None, None
0.4, None, None, None,  None, None
0.41000000000000003, None, None, None,  None, None
0.42000000000000004, None, None, None,  None, None
0.43000000000000005, None, None, None,  None, None
0.44, None, None, None,  None, None
0.45, None, None, None,  None, None
0.46, None, None, None,  None, None
0.47000000000000003, None, None, None,  None, None
0.48000000000000004, None, None, None,  None, None
0.49000000000000005, None, None, None,  None, None
0.5, None, None, None,  None, None
0.51, None, None, None,  None, None
0.52, None, None, None,  None, None
0.53, None, None, None,  None, None
0.54, None, None, None,  None, None
0.55, None, None, None,  None, None
0.56, None, None, None,  None, None
0.5700000000000001, None, None, None,  None, None
0.5800000000000001, None, None, None,  None, None
0.5900000000000001, None, None, None,  None, None
0.6, None, None, None,  None, None
0.61, None, None, None,  None, None
0.62, None, None, None,  None, None
0.63, None, None, None,  None, None
0.64, None, None, None,  None, None
0.65, None, None, None,  None, None
0.66, None, None, None,  None, None
0.67, None, None, None,  None, None
0.68, None, None, None,  None, None
0.6900000000000001, None, None, None,  None, None
0.7000000000000001, None, None, None,  None, None
0.7100000000000001, None, None, None,  None, None
0.7200000000000001, None, None, None,  None, None
0.73, None, None, None,  None, None
0.74, None, None, None,  None, None
0.75, None, None, None,  None, None
0.76, None, None, None,  None, None
0.77, None, None, None,  None, None
0.78, None, None, None,  None, None
0.79, None, None, None,  None, None
0.8, None, None, None,  None, None

