# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	9.113412	22.926871	-37.066611	5.571667
0.015000	13.655448	22.926871	-37.050308	5.502667
0.020000	18.175162	22.926871	-37.027841	5.412333
0.030000	27.139895	22.926871	-36.963119	5.132333
0.040000	35.948707	22.926871	-36.873558	4.753000
0.050000	44.544089	22.926871	-36.759109	4.254333
0.060000	52.869209	22.926871	-36.620585	3.629000
0.070000	60.855294	22.926871	-36.458814	2.876000
0.080000	68.423623	22.926871	-36.274903	1.986000
0.090000	75.495445	22.926871	-36.070008	0.952333
0.100000	81.980152	22.926871	-35.845760	-0.231333
0.110000	87.752458	22.926871	-35.607617	-1.575667
0.120000	92.687244	22.926871	-35.352117	-3.141667
0.130000	96.611733	22.926871	-35.083947	-4.953333
0.140000	99.286004	22.926871	-34.806725	-7.071667
0.150000	100.323893	22.926871	-34.524194	-9.631000
0.160000	99.022802	22.926871	-34.241137	-12.928667
0.170000	93.579105	22.926871	-33.965718	-17.774000
0.180000	69.106393	22.926871	-33.726445	-30.633333
# Energy Storage Capacity at max strain 0.15 is 1.881 MJ/L or 150.162 Wh/Kg, Thickness 0.0 Ang 
# Estimated yield strength: 9.113412 GPa # Shear ultimate strength: 100.323893 GPa
