# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	20.064767	22.895090	-37.063036	4.902667
0.015000	25.283400	23.008432	-37.048049	6.880667
0.020000	30.363921	23.121774	-37.029210	8.798000
0.030000	40.115810	23.348458	-36.980665	12.464000
0.040000	49.364834	23.575142	-36.918753	15.921333
0.050000	58.087967	23.801826	-36.843395	19.148333
0.060000	66.311506	24.028510	-36.756095	22.162333
0.070000	74.036622	24.255194	-36.657552	24.975333
0.080000	81.265717	24.481878	-36.548361	27.587000
0.090000	88.008012	24.708562	-36.429003	29.994667
0.100000	94.299971	24.935246	-36.300563	32.220333
0.110000	100.135172	25.161930	-36.163561	34.255000
0.120000	105.527259	25.388614	-36.018602	36.111333
0.130000	110.481750	25.615298	-35.866048	37.787333
0.140000	115.038759	25.841983	-35.707117	39.311667
0.150000	119.176206	26.068667	-35.541489	40.664000
0.160000	122.929138	26.295351	-35.370367	41.871000
0.170000	126.274541	26.522035	-35.196155	42.957000
0.180000	129.260424	26.748719	-35.016018	43.890000
0.190000	131.875486	26.975403	-34.831775	44.683667
0.200000	134.132181	27.202087	-34.643880	45.341667
0.210000	136.043638	27.428771	-34.453144	45.876333
0.220000	137.628312	27.655455	-34.260203	46.299667
0.230000	138.880980	27.882139	-34.065011	46.599333
0.240000	139.804123	28.108823	-33.868207	46.786333
0.250000	140.412881	28.335507	-33.670211	46.862667
0.260000	140.708099	28.562191	-33.471528	46.833000
0.270000	140.707461	28.788875	-33.272735	46.705333
0.280000	140.379841	29.015559	-33.074001	46.469333
0.290000	139.727078	29.242243	-32.875921	46.127667
0.300000	138.752885	29.468927	-32.679123	45.688333
0.310000	137.321463	29.695612	-32.486585	45.218333
#Estimated yield strength using 0.002 and yield strength using linearity method are:  20.06 GPa and  138.75 GPa 
#The Tensile_x ultimate strength is: 140.71 GPa 
#Energy Storage Capacity at max strain 0.260 is 4.573 MJ/L or 365.053 Wh/Kg

# Energy Storage Capacity at max strain 0.26 is 4.573 MJ/L or 360.938 Wh/Kg, Thickness 0.0 Ang 
# Estimated yield strength: 20.064767 GPa # Tensile_x ultimate strength: 140.708099 GPa
