# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	13.105151	23.156140	-37.056147	9.768000
0.015000	18.700453	23.270774	-37.047306	11.765667
0.020000	24.024517	23.385409	-37.034205	13.660000
0.030000	33.907811	23.614677	-36.996704	17.172333
0.040000	42.806429	23.843946	-36.945497	20.338000
0.050000	50.673896	24.073215	-36.881712	23.153667
0.060000	57.419832	24.302484	-36.805135	25.590333
0.070000	63.071291	24.531752	-36.718789	27.695000
0.080000	67.561185	24.761021	-36.623231	29.445000
0.090000	70.756906	24.990290	-36.520548	30.856333
0.100000	72.540290	25.219558	-36.412955	31.938333
0.110000	72.685766	25.448827	-36.302877	32.700000
0.120000	70.811008	25.678096	-36.192067	33.117333
0.130000	66.307873	25.907365	-36.084110	33.186000
0.140000	57.765485	26.136633	-35.980535	32.788000
0.150000	40.760860	26.365902	-35.886134	31.598667
# Energy Storage Capacity at max strain 0.11 is 0.999 MJ/L or 79.782 Wh/Kg, Thickness 0.0 Ang 
# Estimated yield strength: 13.105151 GPa # Tensile_z ultimate strength: 72.685766 GPa
