# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	4.636645	22.926871	-37.055617	5.543667
0.015000	6.950531	22.926871	-37.071991	5.589333
0.020000	9.262263	22.926871	-37.066292	5.567333
0.030000	13.880159	22.926871	-37.049590	5.492333
0.040000	18.479622	22.926871	-37.026521	5.392333
0.050000	23.056364	22.926871	-36.996572	5.253000
0.060000	27.605588	22.926871	-36.960220	5.088667
0.070000	32.118364	22.926871	-36.917542	4.897000
0.080000	36.592777	22.926871	-36.868335	4.672333
0.090000	41.020370	22.926871	-36.812655	4.411333
0.100000	45.396374	22.926871	-36.750730	4.119333
0.110000	49.710106	22.926871	-36.682522	3.788000
0.120000	53.962121	22.926871	-36.608427	3.429000
0.130000	58.137894	22.926871	-36.527951	3.020000
0.140000	62.240636	22.926871	-36.441435	2.567667
0.150000	66.251591	22.926871	-36.349507	2.081667
0.160000	70.170834	22.926871	-36.251414	1.541667
0.170000	73.986745	22.926871	-36.147931	0.957333
0.180000	77.691813	22.926871	-36.038959	0.319667
0.190000	81.285073	22.926871	-35.924727	-0.375000
0.200000	84.747011	22.926871	-35.805573	-1.125333
0.210000	88.046244	22.926871	-35.684175	-1.907667
0.220000	91.203429	22.926871	-35.555984	-2.799000
0.230000	94.196170	22.926871	-35.423168	-3.777667
0.240000	97.004921	22.926871	-35.286249	-4.840333
0.250000	99.610547	22.926871	-35.145431	-6.007333
0.260000	101.994193	22.926871	-35.001227	-7.282333
0.270000	104.129472	22.926871	-34.853529	-8.689667
0.280000	105.986981	22.926871	-34.702998	-10.243333
0.290000	107.533248	22.926871	-34.550193	-11.958667
0.300000	108.665608	22.926871	-34.395649	-13.879667
0.310000	109.388133	22.926871	-34.239709	-16.038333
0.320000	109.571201	22.926871	-34.082977	-18.552000
0.330000	109.041397	22.926871	-33.926886	-21.446000
0.340000	107.368144	22.926871	-33.772135	-25.009000
0.350000	103.863335	22.926871	-33.620717	-29.736667
0.360000	91.820604	22.926871	-33.478275	-39.496333
0.370000	-6.965459	22.926871	-33.804242	-22.094333
# Energy Storage Capacity at max strain 0.32 is 4.383 MJ/L or 349.873 Wh/Kg, Thickness 0.0 Ang 
# Estimated yield strength: 4.636645 GPa # ideal_strength ultimate strength: 109.571201 GPa
