# Strain	Stress (GPa)	Mean Volume (A^3)	Mean Energy(eV)	Mean Temperature (K)	Mean Pressure (GPa)
0.0	0.0	0.0	0.0	0.0	0.0 
0.010000	6.167893	183.160718	-288.161519	620.730667	-1.150333
0.015000	11.431817	184.067455	-287.741637	589.575000	0.468333
0.020000	16.552167	184.974191	-288.463567	573.763000	3.133333
0.030000	27.450070	186.787663	-287.770824	582.199667	6.285333
0.040000	36.773484	188.601136	-287.292929	572.537667	9.276000
0.050000	45.758234	190.414608	-287.267879	579.843667	14.026333
0.060000	53.639281	192.228081	-286.351099	599.181667	17.334667
0.070000	61.293789	194.041553	-285.214986	604.201000	18.487667
0.080000	69.033528	195.855026	-285.151472	597.621667	22.787333
0.090000	75.641086	197.668498	-283.984275	612.544667	24.744667
0.100000	81.515900	199.481970	-283.223227	591.868000	27.151667
0.110000	86.862462	201.295443	-282.138954	610.389000	28.980000
0.120000	92.225794	203.108915	-281.221387	618.871333	31.814667
0.130000	96.504989	204.922388	-279.778555	611.957000	32.341333
0.140000	100.397152	206.735860	-278.780813	622.580000	33.945667
0.150000	104.099445	208.549333	-277.212267	616.079333	32.163333
0.160000	107.555685	210.362805	-276.073930	593.401333	35.859000
0.170000	109.232750	212.176278	-274.973605	571.738667	35.160000
0.180000	111.823622	213.989750	-273.179170	588.452667	38.047333
0.190000	115.690331	215.803223	-272.268380	596.289667	38.938667
0.200000        116.173974      217.616695      -270.937177     627.442667      39.495667
0.205000        116.343322      218.523431      -270.242505     610.351667      40.239333
0.210000        25.779410       219.430168      -278.609778     640.275667      19.893667
#Estimated yield strength using 0.002 and yield strength using linearity method are:  2.64 GPa and  25.78 GPa 
#The Tensile_x ultimate strength is: 116.34 GPa 
#Energy Storage Capacity at max strain 0.205 is 2.981 MJ/L or 237.990 Wh/Kg
