#Strain	Work Hardening Rate
0.0	616.7893
0.01	762.1211333333334
0.015	1038.4274
0.02	1067.8835333333334
0.03	1011.0658500000001
0.04	915.4081999999999
0.05	843.2898499999998
0.06	776.7777499999996
0.07	769.7123500000002
0.08	717.3648500000006
0.09	624.1185999999998
0.1	561.0687999999996
0.11	535.4946999999999
0.12	482.12634999999995
0.13	408.56790000000024
0.14	379.7228000000006
0.15	357.92664999999977
0.16	256.6652499999994
0.17	213.39685000000028
0.18	322.8790500000004
0.19	217.51759999999985
0.2	43.53273333333338
0.205	-9039.456400000017
0.21	-18112.782399999986
