#Internal Pressure(GPa)	Enthalpy(eV)	Strain	Stress
252.03807807632637	0.0	0.0	0.0
-72.57668472323168	-371.1402810722019	0.01	6.167893
26.682664331147823	-257.0836462630858	0.015	11.431817
64.63390215013018	-213.83433003749383	0.02	16.552167
-51.70638831839072	-348.0586856489557	0.03	27.45007
-22.214770005123942	-313.4460554603315	0.04	36.773484
-41.6000483121904	-336.7139270158976	0.05	45.758234
-90.67506619914568	-395.15443214612816	0.06	53.639281
-52.986836070616356	-349.3950606547991	0.07	61.293789
-54.35979859029217	-351.6098975072187	0.08	69.033528
-85.16945643495013	-389.0736540822287	0.09	75.641086
-81.50672139961732	-384.7158696531637	0.1	81.5159
-88.42007620006406	-393.2410664143923	0.11	86.862462
-104.25740489551733	-413.40371152586897	0.12	92.225794
-107.79868883628777	-417.6709691048753	0.13	96.504989
-113.35139826380474	-425.05920752103737	0.14	100.397152
-119.56139908267619	-432.8580225008672	0.15	104.099445
-98.88036784621137	-405.91632412959325	0.16	107.555685
-127.85984163446953	-444.31708379944564	0.17	109.23275
-119.48819821095263	-432.78747001942696	0.18	111.823622
-99.02750544572389	-405.6669745120928	0.19	115.690331
-121.02099144624493	-435.33285854903306	0.2	116.173974
677.7873611342953	654.3044340980166	0.205	116.343322
1478.3086326023652	1746.268571611656	0.21	25.77941
