# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	14.097057	355.770419	-166.225860	47.973333
0.020000	16.889696	359.292899	-165.887749	57.193333
0.030000	19.636660	362.815378	-165.488399	66.340000
0.040000	22.321774	366.337858	-165.029003	75.283333
0.050000	24.921376	369.860337	-164.512054	83.933333
0.060000	27.416600	373.382816	-163.938416	92.060000
0.070000	29.830533	376.905296	-163.310407	100.153333
0.080000	32.134981	380.427775	-162.631173	107.973333
0.090000	34.301975	383.950255	-161.903120	115.196667
0.100000	36.322740	387.472734	-161.128473	121.803333
0.110000	38.204077	390.995213	-160.310419	128.066667
0.120000	39.924679	394.517693	-159.453210	133.816667
0.130000	41.479688	398.040172	-158.559219	138.996667
0.140000	42.853451	401.562652	-157.633665	143.546667
0.150000	44.033528	405.085131	-156.680325	147.493333
0.160000	45.010427	408.607610	-155.703833	150.763333
0.170000	45.779720	412.130090	-154.708226	153.330000
0.180000	46.339702	415.652569	-153.696982	155.226667
0.190000	46.667155	419.175049	-152.676300	156.296667
0.200000	46.763819	422.697528	-151.651196	156.570000
0.210000	46.610904	426.220007	-150.625682	156.076667
0.220000	26.206975	429.742487	-155.001748	88.273333
#Estimated yield strength using 0.002 and yield strength using linearity method are:  14.10 GPa and  46.61 GPa 
#The Tensile_z ultimate strength is: 46.76 GPa 
#Energy Storage Capacity at max strain 0.200 is 0.234 MJ/L or 55.517 Wh/Kg

