#Internal Pressure(GPa)	Enthalpy(eV)	Strain	Stress
-9.378179875815999	-189.14693369333347	0.01	7.548160760000001
-11.231514037879524	-193.23152046333306	0.02	11.297941355
-14.907932811373744	-201.37341800000033	0.03	14.972675456
-18.522545576140537	-209.45651953999965	0.04	18.590946924
-22.06270032944819	-217.44947841333266	0.05	22.131214961
-25.499380995089748	-225.2828654266683	0.060000000000000005	25.57950148
-28.84361564126468	-232.97808718666812	0.06999999999999999	28.933800046
-32.0822787301584	-240.49989947333188	0.08	32.168660025
-35.193413013132464	-247.79293095333176	0.09	35.275010312
-38.16507096634439	-254.82284482666802	0.09999999999999999	38.249410317000006
-40.99447733018629	-261.57764507500224	0.11	41.077169229
-43.67466175155391	-268.03368884999645	0.12	43.745123105000005
-46.16306060789013	-274.08138284666677	0.13	46.24168855400001
-48.45787918657384	-279.70816012333637	0.14	48.540906848
-50.511398048387434	-284.78697904666615	0.15000000000000002	50.603249819000006
-52.264858578400435	-289.16127278333363	0.16	52.377162411
-53.641868437206554	-292.6250891416671	0.17	53.795655679000006
-54.48999267853766	-294.7750232233346	0.18000000000000002	54.682049322000005
-54.612305424949376	-295.0836565016664	0.19	54.831340748
-54.4633581621358	-294.70067860333006	0.2	54.00621028100001
