#Strain	Work Hardening Rate
0.0	3177.4787
0.01	1849.1620999999998
0.02	502.9176000000002
0.03	467.84365
0.04	433.6026999999997
0.05	401.1163500000003
0.06	371.7732000000001
0.07	344.30964999999986
0.08	318.29120000000034
0.09	294.2294
0.1	271.3559499999995
0.11	249.5875499999998
0.12	228.92775000000037
0.13	208.87914999999973
0.14	190.33120000000005
0.15	173.10000000000025
0.16	156.52559999999966
0.17	141.12064999999993
0.18	126.45249999999996
0.19	112.22100000000016
0.2	99.3097500000005
0.21	87.18560000000015
0.22	74.35174999999951
0.23	63.3673000000002
0.24	53.029600000000016
0.25	41.0215999999998
0.26	31.424050000000364
0.27	21.01545000000014
0.28	5.6097999999998756
0.29	-2.4903500000000682
0.3	-7.587649999999961
0.31	-16.874299999999906
0.32	-29.065100000000374
0.33	-37.61110000000084
