#Internal Pressure(GPa)	Enthalpy(eV)	Strain	Stress
58.63337513292128	0.0	0.0	0.0
-33.181577795288554	-327.0073958689675	0.01	31.774787
-36.69952557707924	-339.62888831662974	0.02	36.983242
-41.79748007415008	-358.05326523079054	0.03	41.833139
-46.27194878239356	-374.3750777111004	0.04	46.340115
-50.21705822531623	-388.91240594118295	0.05	50.505193
-54.188468409751486	-403.6880676689108	0.06	54.362442
-57.888691389114	-417.57870480846293	0.07	57.940657
-61.117459637670486	-429.81571596162644	0.08	61.248635
-64.12201562834335	-441.310008196441	0.09	64.306481
-67.10776913467204	-452.839994955311	0.1	67.133223
-69.68995942697546	-462.8936169524804	0.11	69.7336
-72.02395870952583	-472.07431410983145	0.12	72.124974
-74.26612107741025	-480.9638744152252	0.13	74.312155
-76.22606975740528	-488.80873012163477	0.14	76.302557
-78.03606148771155	-496.1138021685621	0.15	78.118779
-79.68137070307854	-502.8151285983639	0.16	79.764557
-81.18090452033444	-508.9727717549825	0.17	81.249291
-82.49177235905972	-514.4036434697126	0.18	82.58697
-83.73418327908823	-519.5947237894618	0.19	83.778341
-84.7823557608344	-524.0088403321774	0.2	84.83139
-85.65986882268717	-527.7374259048025	0.21	85.764536
-86.56469105565823	-531.6147743585116	0.22	86.575102
-87.23572878777469	-534.5087220739617	0.23	87.251571
-87.75802846768377	-536.7854922492595	0.24	87.842448
-88.30556667212656	-539.187636048433	0.25	88.312163
-88.65385311741855	-540.7271811361294	0.26	88.66288
-88.95671138380204	-542.0791834204024	0.27	88.940644
-89.32377863666584	-543.7296648505964	0.28	89.083189
-89.28233325811355	-543.5345375947172	0.29	89.05284
-89.01769546425359	-542.329433029383	0.3	89.033382
-88.8672840459537	-541.6358856839746	0.31	88.901087
-88.5849082602308	-540.3255231385657	0.32	88.695896
-88.41673683910508	-539.542726573628	0.33	88.319785
