# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	42.519151	560.679835	-227.821312	141.150000
0.020000	48.558713	566.231121	-226.261151	161.733333
0.030000	54.213348	571.782406	-224.478248	180.510000
0.040000	59.474350	577.333692	-222.510435	197.986667
0.050000	64.344113	582.884977	-220.370352	214.420000
0.060000	68.890974	588.436263	-218.058881	229.390000
0.070000	73.083754	593.987549	-215.598646	243.540000
0.080000	76.985322	599.538834	-212.997836	256.470000
0.090000	80.583766	605.090120	-210.275463	268.583333
0.100000	83.918157	610.641405	-207.422022	279.700000
0.110000	86.998148	616.192691	-204.462211	289.920000
0.120000	89.849651	621.743976	-201.395652	299.280000
0.130000	92.442438	627.295262	-198.246352	308.110000
0.140000	94.831319	632.846547	-194.998125	315.953333
0.150000	96.994387	638.397833	-191.669401	323.270000
0.160000	98.976922	643.949118	-188.269188	329.690000
0.170000	100.760288	649.500403	-184.811865	335.580000
0.180000	102.360456	655.051689	-181.292497	340.930000
0.190000	103.771586	660.602974	-177.731108	345.960000
0.200000	105.057554	666.154260	-174.110387	350.020000
0.210000	106.175412	671.705545	-170.445317	353.780000
0.220000	107.150690	677.256831	-166.759757	357.050000
0.230000	108.000082	682.808116	-163.008646	359.720000
0.240000	108.698386	688.359402	-159.281369	362.230000
0.250000	109.288973	693.910688	-155.494945	364.160000
0.260000	109.761331	699.461973	-151.699048	365.740000
0.270000        110.121890      705.013259      -147.903195     367.000000
0.280000        110.386783      710.564544      -144.082631     367.830000
0.290000        110.550202      716.115830      -140.258541     368.400000
0.300000        110.625270      721.667115      -136.427014     368.646667
0.310000        110.615410      727.218401      -132.590167     368.570000
0.320000        110.523246      732.769686      -128.763516     368.310000
0.330000        110.355285      738.320971      -124.936407     367.740000
0.340000        110.118778      743.872257      -121.115098     366.930000
0.350000        109.813988      749.423543      -117.308365     365.910000
# Energy Storage Capacity at max strain 0.30000000000000004 is 0.830 MJ/L or 320.737 Wh/Kg, Thickness 0.0 Ang 
# Estimated yield strength: 99.887147 GPa # Tensile_z ultimate strength: 110.625270 GPa
