#Strain	Work Hardening Rate
0.0	4251.9151
0.01	2427.93565
0.02	584.7098500000002
0.03	545.7818500000002
0.04	506.5382499999994
0.05	470.8312
0.06	436.98205000000024
0.07	404.71739999999977
0.08	375.0006000000001
0.09	346.6417499999998
0.1	320.7191000000001
0.11	296.5747000000002
0.12	272.2144999999997
0.13	249.08339999999973
0.14	227.5974500000005
0.15	207.28015000000053
0.16	188.2950499999998
0.17	169.17669999999995
0.18	150.5648999999999
0.19	134.85489999999973
0.2	120.19129999999981
0.21	104.65680000000012
0.22	91.2335000000005
0.23	77.38480000000014
0.24	64.44454999999965
0.25	53.14724999999991
0.26	41.645849999999704
0.27	31.272599999999755
0.28	21.415600000000307
0.29	11.92435000000034
0.3	3.260399999999916
0.31	-5.101200000000001
0.32	-13.006250000000096
0.33	-20.223399999999696
0.34	-27.064850000000057
0.35	-30.479000000001264
