#Strain	Work Hardening Rate
0.01	882.2
0.015	886.2
0.02	885.8
0.03	885.55
0.04	886.35
0.05	886.3500000000004
0.06	888.7499999999998
0.07	890.8999999999994
0.08	892.9
0.09000000000000001	895.4500000000002
0.1	898.4000000000007
0.11	901.3000000000003
0.12000000000000001	902.7499999999994
0.13	906.9000000000013
0.13999999999999999	909.0000000000008
0.15	836.3499999999995
0.16	800.6500000000007
0.16999999999999998	868.8999999999997
0.18	886.0499999999994
0.19	522.8499999999999
0.19999999999999998	180.79999999999936
0.21	297.1000000000001
0.22	-574.6999999999989
0.22999999999999998	-1094.6000000000004
0.24	-437.200000000001
0.25	-724.1499999999995
0.26	-546.3999999999994
0.27	12.749999999999762
0.28	-284.19999999999965
0.29000000000000004	-686.5999999999987
0.30000000000000004	-1276.6500000000024
0.31	-1661.5000000000086
