#Strain	Work Hardening Rate
0.01	741.4000000000007
0.015	740.5000000000002
0.02	724.7999999999997
0.03	715.4999999999999
0.04	697.2499999999999
0.05	676.4000000000004
0.06	665.7499999999998
0.07	644.4499999999997
0.08	627.2500000000003
0.09000000000000001	611.25
0.1	590.1500000000002
0.11	578.8000000000003
0.12000000000000001	563.0999999999999
0.13	545.7
0.13999999999999999	530.7000000000005
0.15	514.6000000000004
0.16	498.7500000000007
0.16999999999999998	483.94999999999965
0.18	467.9499999999993
0.19	453.40000000000083
0.19999999999999998	441.79999999999944
0.21	424.2999999999991
0.22	408.25000000000125
0.22999999999999998	396.6499999999998
0.24	383.69999999999857
0.25	366.650000000001
0.26	353.1500000000005
0.27	340.94999999999914
0.28	325.1000000000002
0.29000000000000004	312.349999999999
0.30000000000000004	296.70000000000044
0.31	284.55000000000064
0.32	270.84999999999985
0.33	251.95000000000056
0.34	239.54999999999964
0.35000000000000003	229.29999999999902
0.36000000000000004	212.14999999999955
0.37000000000000005	193.5000000000006
0.38	186.7499999999996
0.39	174.09999999999982
0.4	156.75000000000082
0.41000000000000003	144.1000000000001
0.42000000000000004	129.34999999999934
0.43000000000000005	114.30000000000028
0.44	108.05000000000027
0.45	46.5000000000003
0.46	-77.74999999999885
0.47000000000000003	-140.2
0.48000000000000004	-138.39999999999992
0.49000000000000005	-134.89999999999884
